normalized_task_text,original_task_text,n_socs,soc_codes
advise patients and community members concerning diet activity hygiene and disease prevention,"Advise patients and community members concerning diet, activity, hygiene, and disease prevention.",3,29-1215.00; 29-1216.00; 29-1218.00
organize and display students work in a manner appropriate for their perceptual skills,Organize and display students' work in a manner appropriate for their perceptual skills.,3,25-2051.00; 25-2055.00; 25-2056.00
maintain accurate and complete student records and prepare reports on children and activities as required by laws district policies and administrative regulations,"Maintain accurate and complete student records and prepare reports on children and activities as required by laws, district policies, and administrative regulations.",3,25-2012.00; 25-2057.00; 25-2058.00
administer standardized ability and achievement tests and interpret results to determine students strengths and needs,"Administer standardized ability and achievement tests, and interpret results to determine students' strengths and needs.",3,25-2031.00; 25-2057.00; 25-2058.00
maintain accurate and complete student records as required by laws district policies or administrative regulations,"Maintain accurate and complete student records as required by laws, district policies, or administrative regulations.",3,25-2051.00; 25-2055.00; 25-2056.00
conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs,Conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs.,3,17-3024.00; 17-3026.00; 17-3027.00
organize and label materials and display students work,Organize and label materials and display students' work.,3,25-2021.00; 25-2022.00; 25-2057.00
prepare objectives outlines or other materials for courses of study following curriculum guidelines or school or state requirements,"Prepare objectives, outlines, or other materials for courses of study, following curriculum guidelines or school or state requirements.",2,25-2055.00; 25-2056.00
prepare surfaces for insulation application by brushing or spreading on adhesives cement or asphalt or by attaching metal pins to surfaces,"Prepare surfaces for insulation application by brushing or spreading on adhesives, cement, or asphalt, or by attaching metal pins to surfaces.",2,47-2131.00; 47-2132.00
operate on patients to remove repair or improve functioning of diseased or injured body parts and systems,"Operate on patients to remove, repair, or improve functioning of diseased or injured body parts and systems.",2,29-1216.00; 29-1221.00
participate in educational programs inservice training or workshops to remain current in methods and techniques,"Participate in educational programs, in-service training, or workshops to remain current in methods and techniques.",2,19-3039.02; 19-3039.03
prepare sales slips or sales contracts,Prepare sales slips or sales contracts.,2,41-2022.00; 41-2031.00
order and interpret the results of laboratory tests and diagnostic imaging procedures,Order and interpret the results of laboratory tests and diagnostic imaging procedures.,2,29-1229.06; 29-1242.00
order changes in fuel supplies loads routes or schedules to ensure safety of flights,"Order changes in fuel supplies, loads, routes, or schedules to ensure safety of flights.",2,53-2011.00; 53-2012.00
prepare students for later educational experiences by encouraging them to explore learning opportunities and to persevere with challenging tasks,Prepare students for later educational experiences by encouraging them to explore learning opportunities and to persevere with challenging tasks.,2,21-1012.00; 25-2023.00
prepare plans of action for investment using financial analyses,"Prepare plans of action for investment, using financial analyses.",2,13-2051.00; 13-2054.00
organize and lead activities designed to promote physical mental and social development such as games arts and crafts music and storytelling,"Organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, and storytelling.",2,25-2012.00; 25-2021.00
organize and direct committees of specialists volunteers and staff to provide technical and advisory assistance for programs,"Organize and direct committees of specialists, volunteers, and staff to provide technical and advisory assistance for programs.",2,11-9031.00; 11-9032.00
organize and label materials and display students work in a manner appropriate for their eye levels and perceptual skills,Organize and label materials and display students' work in a manner appropriate for their eye levels and perceptual skills.,2,25-9042.00; 25-9043.00
participate in teacherparent conferences regarding students progress or problems,Participate in teacher-parent conferences regarding students' progress or problems.,2,25-9042.00; 25-9043.00
plan implement or administer health programs in hospitals businesses or communities for prevention and treatment of injuries or illnesses,"Plan, implement, or administer health programs in hospitals, businesses, or communities for prevention and treatment of injuries or illnesses.",2,29-1216.00; 29-1218.00
perform clerical duties such as taking inventory ordering supplies answering telephone taking messages or filling out forms,"Perform clerical duties, such as taking inventory, ordering supplies, answering telephone, taking messages, or filling out forms.",2,31-2021.00; 31-2022.00
prepare lesson materials bulletin board displays exhibits equipment and demonstrations,"Prepare lesson materials, bulletin board displays, exhibits, equipment, and demonstrations.",2,25-9042.00; 25-9043.00
plan or supervise experiential learning activities such as class projects field trips demonstrations or visits by guest speakers,"Plan or supervise experiential learning activities, such as class projects, field trips, demonstrations, or visits by guest speakers.",2,25-2055.00; 25-2056.00
plan project arrangements or outlines and organize material accordingly,"Plan project arrangements or outlines, and organize material accordingly.",2,27-3043.00; 27-3043.05
position or hold patients in position for surgical preparation,Position or hold patients in position for surgical preparation.,2,31-1131.00; 31-1132.00
plan direct supervise and coordinate work activities of subordinates and staff relating to employment compensation labor relations and employee relations,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.",2,11-3111.00; 11-3121.00
prepare and administer written oral and performance tests and issue grades in accordance with performance,"Prepare and administer written, oral, and performance tests and issue grades in accordance with performance.",2,25-3011.00; 25-3021.00
prepare works in appropriate format for publication and send them to publishers or producers,"Prepare works in appropriate format for publication, and send them to publishers or producers.",2,27-3043.00; 27-3043.05
plan and supervise class projects field trips visits by guests or other experiential activities and guide students in learning from those activities,"Plan and supervise class projects, field trips, visits by guests, or other experiential activities and guide students in learning from those activities.",2,25-2011.00; 25-2012.00
prepare and review operational reports and schedules to ensure accuracy and efficiency,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,2,11-3012.00; 11-3013.00
plan and supervise class projects field trips visits by guest speakers contests or other experiential activities and guide students in learning from those activities,"Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities.",2,25-3011.00; 25-3021.00
prepare and submit budget estimates progress reports or cost tracking reports,"Prepare and submit budget estimates, progress reports, or cost tracking reports.",2,11-9021.00; 13-1082.00
prepare assignments for teacher assistants or volunteers,Prepare assignments for teacher assistants or volunteers.,2,25-2051.00; 25-2055.00
prepare case histories,Prepare case histories.,2,29-1242.00; 29-1243.00
plan and install upgrades of database management system software to enhance database performance,Plan and install upgrades of database management system software to enhance database performance.,2,15-1242.00; 15-1243.00
plan and formulate flight activities and test schedules and prepare flight evaluation reports,Plan and formulate flight activities and test schedules and prepare flight evaluation reports.,2,53-2011.00; 53-2012.00
plan and direct studies to investigate human or animal disease preventive methods and treatments for disease,"Plan and direct studies to investigate human or animal disease, preventive methods, and treatments for disease.",2,19-1041.00; 19-1042.00
plan and direct special events for fundraising such as silent auctions dances golf events or walks,"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",2,11-2033.00; 13-1131.00
plan administer and control budgets for contracts equipment and supplies,"Plan, administer, and control budgets for contracts, equipment, and supplies.",2,11-3012.00; 11-3013.00
perform web site tests according to planned schedules or after any web site or product revision,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",2,15-1254.00; 15-1255.00
perform routine vehicle maintenance such as regulating tire pressure and adding gasoline oil and water,"Perform routine vehicle maintenance, such as regulating tire pressure and adding gasoline, oil, and water.",2,53-3053.00; 53-3054.00
prepare collection reports for submission to supervisors,Prepare collection reports for submission to supervisors.,2,39-3011.00; 39-3012.00
perform or direct web site updates,Perform or direct Web site updates.,2,15-1254.00; 15-1255.00
perform minor vehicle repairs such as cleaning spark plugs or take vehicles to mechanics for servicing,"Perform minor vehicle repairs, such as cleaning spark plugs, or take vehicles to mechanics for servicing.",2,53-3053.00; 53-3054.00
plan implement or administer health programs or standards in hospitals businesses or communities for prevention or treatment of injury or illness,"Plan, implement, or administer health programs or standards in hospitals, businesses, or communities for prevention or treatment of injury or illness.",2,29-1215.00; 29-1221.00
prepare technical and research reports such as environmental impact reports and communicate the results to individuals in industry government or the general public,"Prepare technical and research reports, such as environmental impact reports, and communicate the results to individuals in industry, government, or the general public.",2,19-1029.04; 19-2041.03
acquire distribute and store supplies,"Acquire, distribute and store supplies.",2,11-3012.00; 11-3013.00
present subject matter to students under the direction and guidance of teachers using lectures discussions supervised roleplaying methods or by reading aloud,"Present subject matter to students under the direction and guidance of teachers, using lectures, discussions, supervised role-playing methods, or by reading aloud.",2,25-9042.00; 25-9043.00
produce films and other video products regulate their distribution and operate film library,"Produce films and other video products, regulate their distribution, and operate film library.",2,11-2032.00; 11-2033.00
teach principles of medicine and medical and laboratory procedures to physicians residents students and technicians,"Teach principles of medicine and medical and laboratory procedures to physicians, residents, students, and technicians.",2,19-1041.00; 19-1042.00
teach in colleges and universities,Teach in colleges and universities.,2,17-2131.00; 19-2032.00
teach basic skills such as color shape number and letter recognition personal hygiene and social skills,"Teach basic skills, such as color, shape, number and letter recognition, personal hygiene, and social skills.",2,25-2011.00; 25-2012.00
take and document patients medical histories,Take and document patients' medical histories.,2,29-2057.00; 29-2099.05
supervise students laboratory or field work,Supervise students' laboratory or field work.,2,25-1043.00; 25-1061.00
supervise students in classrooms halls cafeterias school yards and gymnasiums or on field trips,"Supervise students in classrooms, halls, cafeterias, school yards, and gymnasiums, or on field trips.",2,25-9042.00; 25-9043.00
study legislation arbitration decisions and collective bargaining contracts to assess industry trends,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.",2,11-3111.00; 11-3121.00
study guides samples charts and specification sheets or confer with supervisors or engineering staff to determine setup requirements,"Study guides, samples, charts, and specification sheets or confer with supervisors or engineering staff to determine set-up requirements.",2,51-6062.00; 51-6064.00
stop machines when specified amounts of product have been produced,Stop machines when specified amounts of product have been produced.,2,51-6062.00; 51-6063.00
stock or issue medical supplies such as dressing packs or treatment trays,"Stock or issue medical supplies, such as dressing packs or treatment trays.",2,31-1131.00; 31-1132.00
start machines monitor operations and make adjustments as needed,"Start machines, monitor operations, and make adjustments as needed.",2,51-6062.00; 51-6063.00
stain tissue specimens with dyes or other chemicals to make cell details visible under microscopes,Stain tissue specimens with dyes or other chemicals to make cell details visible under microscopes.,2,29-2011.04; 29-2012.01
sprinkle colored marble or stone chips powdered steel or coloring powder over surface to produce prescribed finish,"Sprinkle colored marble or stone chips, powdered steel, or coloring powder over surface to produce prescribed finish.",2,47-2051.00; 47-2053.00
spread roofing paper on surface of foundation and spread concrete onto roofing paper with trowel to form terrazzo base,"Spread roofing paper on surface of foundation, and spread concrete onto roofing paper with trowel to form terrazzo base.",2,47-2051.00; 47-2053.00
signal truck driver to position truck to facilitate pouring concrete and move chute to direct concrete on forms,"Signal truck driver to position truck to facilitate pouring concrete, and move chute to direct concrete on forms.",2,47-2051.00; 47-2053.00
signal crane operators to move equipment,Signal crane operators to move equipment.,2,47-5023.00; 47-5032.00
set up equipment that automatically detects area radiation deviations and test detection equipment to ensure its accuracy,Set up equipment that automatically detects area radiation deviations and test detection equipment to ensure its accuracy.,2,19-4051.00; 19-4051.02
set goals and deadlines for the department,Set goals and deadlines for the department.,2,11-3012.00; 11-3013.00
sell gambling chips tokens or tickets to patrons or to other workers for resale to patrons,"Sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons.",2,41-2012.00; 43-3041.00
teach socially acceptable behavior employing techniques such as behavior modification and positive reinforcement,"Teach socially acceptable behavior, employing techniques such as behavior modification and positive reinforcement.",2,25-2057.00; 25-2058.00
teach students personal development skills such as goal setting independence or selfadvocacy,"Teach students personal development skills, such as goal setting, independence, or self-advocacy.",2,25-2051.00; 25-2056.00
test programs or databases correct errors and make necessary modifications,"Test programs or databases, correct errors, and make necessary modifications.",2,15-1242.00; 15-1243.00
tutor and assist children individually or in small groups to help them master assignments and to reinforce learning concepts presented by teachers,Tutor and assist children individually or in small groups to help them master assignments and to reinforce learning concepts presented by teachers.,2,25-9042.00; 25-9043.00
write or prepare detailed clinical neuropsychological reports using data from psychological or neuropsychological tests selfreport measures rating scales direct observations or interviews,"Write or prepare detailed clinical neuropsychological reports, using data from psychological or neuropsychological tests, self-report measures, rating scales, direct observations, or interviews.",2,19-3039.02; 19-3039.03
write interesting and effective press releases prepare information for media kits and develop and maintain company internet or intranet web pages,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",2,11-2032.00; 11-2033.00
write grant proposals to obtain funding for research,Write grant proposals to obtain funding for research.,2,19-1021.00; 19-3091.00
write fiction or nonfiction prose such as short stories novels biographies articles descriptive or critical analyses and essays,"Write fiction or nonfiction prose, such as short stories, novels, biographies, articles, descriptive or critical analyses, and essays.",2,27-3043.00; 27-3043.05
write and code logical and physical database descriptions and specify identifiers of database to management system or direct others in coding descriptions,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",2,15-1242.00; 15-1243.00
wet concrete surface and rub with stone to smooth surface and obtain specified finish,"Wet concrete surface, and rub with stone to smooth surface and obtain specified finish.",2,47-2051.00; 47-2053.00
visit schools to tutor students with sensory impairments and to consult with teachers regarding students special needs,Visit schools to tutor students with sensory impairments and to consult with teachers regarding students' special needs.,2,25-2057.00; 25-2058.00
vacuum and clean interiors and wash and polish exteriors of automobiles,"Vacuum and clean interiors, and wash and polish exteriors of automobiles.",2,53-3053.00; 53-3054.00
trim smooth and shape surfaces and plane shave file scrape and sand models to attain specified shapes using hand tools,"Trim, smooth, and shape surfaces, and plane, shave, file, scrape, and sand models to attain specified shapes, using hand tools.",2,51-7031.00; 51-7032.00
test samples of materials or products to ensure compliance with specifications using test equipment,"Test samples of materials or products to ensure compliance with specifications, using test equipment.",2,51-9021.00; 51-9023.00
transport specimens laboratory items or pharmacy items ensuring proper documentation and delivery to authorized personnel,"Transport specimens, laboratory items, or pharmacy items, ensuring proper documentation and delivery to authorized personnel.",2,31-1131.00; 31-1132.00
transport patients to treatment units testing units operating rooms or other areas using wheelchairs stretchers or moveable beds,"Transport patients to treatment units, testing units, operating rooms, or other areas, using wheelchairs, stretchers, or moveable beds.",2,31-1131.00; 31-1132.00
transport patients to and from the occupational therapy work area,Transport patients to and from the occupational therapy work area.,2,31-2011.00; 31-2012.00
transport packages to customers vehicles,Transport packages to customers' vehicles.,2,53-7064.00; 53-7065.00
train users and answer questions,Train users and answer questions.,2,15-1242.00; 15-1243.00
train exercise and attend dance classes to maintain high levels of technical proficiency physical ability and physical fitness,"Train, exercise, and attend dance classes to maintain high levels of technical proficiency, physical ability, and physical fitness.",2,27-2031.00; 27-2032.00
thread yarn thread or fabric through guides needles and rollers of machines,"Thread yarn, thread, or fabric through guides, needles, and rollers of machines.",2,51-6062.00; 51-6064.00
test vehicle equipment such as lights brakes horns or windshield wipers to ensure proper operation,"Test vehicle equipment, such as lights, brakes, horns, or windshield wipers, to ensure proper operation.",2,53-3053.00; 53-3054.00
select programming languages design tools or applications,"Select programming languages, design tools, or applications.",2,15-1254.00; 15-1255.00
select order and issue books materials and supplies for courses or projects,"Select, order, and issue books, materials, and supplies for courses or projects.",2,25-3011.00; 25-3021.00
secure patients into or onto therapy equipment,Secure patients into or onto therapy equipment.,2,31-2021.00; 31-2022.00
provide passengers with assistance entering and exiting vehicles and help them with any luggage,"Provide passengers with assistance entering and exiting vehicles, and help them with any luggage.",2,53-3053.00; 53-3054.00
read maps and follow written and verbal geographic directions,Read maps and follow written and verbal geographic directions.,2,53-3051.00; 53-3053.00
read current literature talk with colleagues or participate in professional organizations or conferences to keep abreast of developments in nursing,"Read current literature, talk with colleagues, or participate in professional organizations or conferences to keep abreast of developments in nursing.",2,29-1141.04; 29-1171.00
read current literature talk with colleagues continue education or participate in professional organizations or conferences to keep abreast of developments in the field,"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field.",2,17-2199.07; 29-2099.08
read current literature talk with colleagues and participate in professional organizations or conferences to keep abreast of developments in neuropsychology,"Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in neuropsychology.",2,19-3039.02; 19-3039.03
pull up cable by hand from large reels mounted on trucks,Pull up cable by hand from large reels mounted on trucks.,2,49-9051.00; 49-9052.00
operate metalworking machines to fabricate housings jigs fittings or fixtures,"Operate metalworking machines to fabricate housings, jigs, fittings, or fixtures.",2,17-3024.00; 17-3028.00
provide staff with assistance in performing difficult or complicated duties,Provide staff with assistance in performing difficult or complicated duties.,2,39-1014.00; 41-1012.00
provide passengers with information or advice about the local area points of interest hotels or restaurants,"Provide passengers with information or advice about the local area, points of interest, hotels, or restaurants.",2,53-3053.00; 53-3054.00
provide education or counseling to individuals and families,Provide education or counseling to individuals and families.,2,19-3039.02; 19-3039.03
recommend purchase of equipment to control dust temperature or humidity in area of system installation,"Recommend purchase of equipment to control dust, temperature, or humidity in area of system installation.",2,15-1252.00; 15-1253.00
provide consultation and surgical assistance to other physicians and surgeons,Provide consultation and surgical assistance to other physicians and surgeons.,2,29-1242.00; 29-1243.00
provide clear detailed descriptions of web site specifications such as product features activities software communication protocols programming languages and operating systems software and hardware,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",2,15-1254.00; 15-1255.00
provide assistive devices supportive technology and assistance accessing facilities such as restrooms,"Provide assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.",2,25-2057.00; 25-2058.00
provide assistance to internal or external auditors in compliance reviews,Provide assistance to internal or external auditors in compliance reviews.,2,11-9199.02; 13-1041.00
provide additional instruction in vocational areas,Provide additional instruction in vocational areas.,2,25-2057.00; 25-2058.00
protect the security of medical records to ensure that confidentiality is maintained,Protect the security of medical records to ensure that confidentiality is maintained.,2,29-2072.00; 29-9021.00
program electronic equipment,Program electronic equipment.,2,51-6062.00; 51-6063.00
produce rough concrete surface using broom,"Produce rough concrete surface, using broom.",2,47-2051.00; 47-2053.00
recommend investments and investment timing to companies investment firm staff or the public,"Recommend investments and investment timing to companies, investment firm staff, or the public.",2,13-2051.00; 13-2054.00
record information about work completed and machine settings,Record information about work completed and machine settings.,2,51-6062.00; 51-6063.00
seal open sides of modular units to prepare them for shipment using polyethylene sheets nails and hammers,"Seal open sides of modular units to prepare them for shipment, using polyethylene sheets, nails, and hammers.",2,49-3092.00; 49-9095.00
resolve or clarify codes or diagnoses with conflicting missing or unclear information by consulting with doctors or others or by participating in the coding teams regular meetings,"Resolve or clarify codes or diagnoses with conflicting, missing, or unclear information by consulting with doctors or others or by participating in the coding team's regular meetings.",2,29-2072.00; 29-9021.00
rewire ignition systems lights and instrument panels,"Rewire ignition systems, lights, and instrument panels.",2,49-3023.00; 49-3031.00
revise written material to meet personal standards and to satisfy needs of clients publishers directors or producers,"Revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers.",2,27-3043.00; 27-3043.05
review operational expenses budget estimates betting accounts or collection reports for accuracy,"Review operational expenses, budget estimates, betting accounts, or collection reports for accuracy.",2,11-9071.00; 39-1013.00
review instructional content methods and student evaluations to assess strengths and weaknesses and to develop recommendations for course revision development or elimination,"Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.",2,25-3011.00; 25-3021.00
review individual or commercial customer files to identify and select delinquent accounts for collection,Review individual or commercial customer files to identify and select delinquent accounts for collection.,2,13-2041.00; 43-4041.00
review books and journal articles for potential publication,Review books and journal articles for potential publication.,2,25-1066.00; 25-1125.00
retrieve patient medical records for physicians technicians or other medical personnel,"Retrieve patient medical records for physicians, technicians, or other medical personnel.",2,29-2072.00; 29-9021.00
respond to user email inquiries or set up automated systems to send responses,"Respond to user email inquiries, or set up automated systems to send responses.",2,15-1254.00; 15-1255.00
reset hardware using chisels mallets and screwdrivers,"Reset hardware, using chisels, mallets, and screwdrivers.",2,49-3092.00; 49-9095.00
record numbers of cars available numbers of cars sent to repair stations and types of service needed,"Record numbers of cars available, numbers of cars sent to repair stations, and types of service needed.",2,53-4013.00; 53-4022.00
research document rate or select alternatives for web architecture or technologies,"Research, document, rate, or select alternatives for Web architecture or technologies.",2,15-1254.00; 15-1255.00
requisition necessary supplies equipment or services,"Requisition necessary supplies, equipment, or services.",2,39-1022.00; 53-1044.00
requisition and stock teaching materials and supplies,Requisition and stock teaching materials and supplies.,2,25-9042.00; 25-9043.00
represent organization at personnelrelated hearings and investigations,Represent organization at personnel-related hearings and investigations.,2,11-3111.00; 11-3121.00
represent company at trade association meetings to promote products,Represent company at trade association meetings to promote products.,2,11-2011.00; 11-2022.00
report delays accidents or other traffic and transportation situations using telephones or mobile twoway radios,"Report delays, accidents, or other traffic and transportation situations, using telephones or mobile two-way radios.",2,53-3051.00; 53-3053.00
repair or replace worn or defective parts or components using hand tools,"Repair or replace worn or defective parts or components, using hand tools.",2,51-6062.00; 51-6064.00
refer patient to medical specialist or other practitioners when necessary,Refer patient to medical specialist or other practitioners when necessary.,2,29-1242.00; 29-1243.00
provide technical support to junior staff or clients,Provide technical support to junior staff or clients.,2,15-1242.00; 15-1243.00
measure corneal curvature with keratometers or ophthalmometers to aid in the diagnosis of conditions such as astigmatism,"Measure corneal curvature with keratometers or ophthalmometers to aid in the diagnosis of conditions, such as astigmatism.",2,29-2057.00; 29-2099.05
operate machines to flush earth cuttings or to blow dust from holes,Operate machines to flush earth cuttings or to blow dust from holes.,2,47-5023.00; 47-5032.00
operate computerized laboratory equipment to dehydrate decalcify or microincinerate tissue samples,"Operate computerized laboratory equipment to dehydrate, decalcify, or microincinerate tissue samples.",2,29-2011.04; 29-2012.01
confer with management or development teams to prioritize needs resolve conflicts develop content criteria or choose solutions,"Confer with management or development teams to prioritize needs, resolve conflicts, develop content criteria, or choose solutions.",2,15-1254.00; 15-1255.00
confer with customers to determine the nature of malfunctions,Confer with customers to determine the nature of malfunctions.,2,49-2093.00; 49-2096.00
confer with customers supervisors contractors or other personnel to exchange information or to resolve problems,"Confer with customers, supervisors, contractors, or other personnel to exchange information or to resolve problems.",2,53-1043.00; 53-1044.00
confer with coworkers to obtain information about orders processes or problems,"Confer with coworkers to obtain information about orders, processes, or problems.",2,51-6062.00; 51-6063.00
confer with company officials to develop methods and procedures to increase sales expand markets and promote business,"Confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business.",2,41-1011.00; 41-1012.00
conduct visual field tests to measure field of vision,Conduct visual field tests to measure field of vision.,2,29-2057.00; 29-2099.05
conduct tonometry or tonography tests to measure intraocular pressure,Conduct tonometry or tonography tests to measure intraocular pressure.,2,29-2057.00; 29-2099.05
conduct research to obtain factual information and authentic detail using sources such as newspaper accounts diaries and interviews,"Conduct research to obtain factual information and authentic detail, using sources such as newspaper accounts, diaries, and interviews.",2,27-3043.00; 27-3043.05
conduct research to identify the goals net worth charitable donation history or other data related to potential donors potential investors or general donor markets,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",2,11-2033.00; 13-1131.00
conduct research to develop or test medications treatments or procedures to prevent or control disease or injury,"Conduct research to develop or test medications, treatments, or procedures to prevent or control disease or injury.",2,29-1216.00; 29-1218.00
conduct research in a particular field of knowledge and publish findings in books professional journals or electronic media,"Conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media.",2,25-1022.00; 25-1043.00
conduct research in a particular field of knowledge and present findings in professional journals books electronic media or at professional conferences,"Conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences.",2,25-1061.00; 25-1082.00
conduct ocular motility tests to measure function of eye muscles,Conduct ocular motility tests to measure function of eye muscles.,2,29-2057.00; 29-2099.05
conduct neuropsychological evaluations such as assessments of intelligence academic ability attention concentration sensorimotor function language learning and memory,"Conduct neuropsychological evaluations such as assessments of intelligence, academic ability, attention, concentration, sensorimotor function, language, learning, and memory.",2,19-3039.02; 19-3039.03
conduct information sharing sessions such as inservice workshops for other professionals potential client groups or the general community,"Conduct information sharing sessions, such as in-service workshops for other professionals, potential client groups, or the general community.",2,29-1129.01; 29-1129.02
conduct inflight tests and evaluations at specified altitudes and in all types of weather to determine the receptivity and other characteristics of equipment and systems,Conduct in-flight tests and evaluations at specified altitudes and in all types of weather to determine the receptivity and other characteristics of equipment and systems.,2,53-2011.00; 53-2012.00
conduct classes to teach procedures to staff,Conduct classes to teach procedures to staff.,2,11-3012.00; 11-3013.00
conduct binocular disparity tests to assess depth perception,Conduct binocular disparity tests to assess depth perception.,2,29-2057.00; 29-2099.05
comply with traffic regulations to operate vehicles in a safe and courteous manner,Comply with traffic regulations to operate vehicles in a safe and courteous manner.,2,53-3051.00; 53-3053.00
confer with parents administrators testing specialists social workers or other professionals to develop individual educational plans ieps for students educational physical or social development,"Confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual educational plans (IEPs) for students' educational, physical, or social development.",2,25-2055.00; 25-2056.00
confer with parents guardians teachers counselors or administrators to resolve students behavioral or academic problems,"Confer with parents, guardians, teachers, counselors, or administrators to resolve students' behavioral or academic problems.",2,25-2051.00; 25-2055.00
confer with physical therapy staff or others to discuss and evaluate patient information for planning modifying or coordinating treatment,"Confer with physical therapy staff or others to discuss and evaluate patient information for planning, modifying, or coordinating treatment.",2,31-2021.00; 31-2022.00
cover seal or finish insulated surfaces or access holes with plastic covers canvas strips sealants tape cement or asphalt mastic,"Cover, seal, or finish insulated surfaces or access holes with plastic covers, canvas strips, sealants, tape, cement or asphalt mastic.",2,47-2131.00; 47-2132.00
determine allocations of funds for staff supplies materials and equipment and authorize purchases,"Determine allocations of funds for staff, supplies, materials, and equipment and authorize purchases.",2,11-9031.00; 11-9032.00
design or implement rehabilitation plans for patients with cognitive dysfunction,Design or implement rehabilitation plans for patients with cognitive dysfunction.,2,19-3039.02; 19-3039.03
design build or maintain web sites using authoring or scripting languages content creation tools management tools and digital media,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",2,15-1254.00; 15-1255.00
design and edit promotional publications such as brochures,"Design and edit promotional publications, such as brochures.",2,11-2032.00; 11-2033.00
demonstrate activities to children,Demonstrate activities to children.,2,25-2011.00; 25-2012.00
cut sections of body tissues for microscopic examination using microtomes,"Cut sections of body tissues for microscopic examination, using microtomes.",2,29-2011.04; 29-2012.01
create web models or prototypes that include physical interface logical or data models,"Create Web models or prototypes that include physical, interface, logical, or data models.",2,15-1254.00; 15-1255.00
create and lay out designs for drill and blast patterns,Create and lay out designs for drill and blast patterns.,2,47-5023.00; 47-5032.00
counsel clients or patients individually or in group sessions to assist in overcoming dependencies adjusting to life or making changes,"Counsel clients or patients, individually or in group sessions, to assist in overcoming dependencies, adjusting to life, or making changes.",2,21-1011.00; 21-1014.00
confer with project personnel to identify and resolve problems,Confer with project personnel to identify and resolve problems.,2,13-1082.00; 15-1299.09
coordinate work with other emergency medical team members or police or fire department personnel,Coordinate work with other emergency medical team members or police or fire department personnel.,2,29-2042.00; 29-2043.00
coordinate flight activities with ground crews and air traffic control and inform crew members of flight and test procedures,Coordinate flight activities with ground crews and air traffic control and inform crew members of flight and test procedures.,2,53-2011.00; 53-2012.00
control the inventory or distribution of classroom equipment materials or supplies,"Control the inventory or distribution of classroom equipment, materials, or supplies.",2,25-2051.00; 25-2055.00
contact corporate representatives government officials or community leaders to increase awareness of organizational causes activities or needs,"Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs.",2,11-2033.00; 13-1131.00
contact control towers for takeoff clearances arrival instructions and other information using radio equipment,"Contact control towers for takeoff clearances, arrival instructions, and other information, using radio equipment.",2,53-2011.00; 53-2012.00
consult with other professionals about patients neurological conditions,Consult with other professionals about patients' neurological conditions.,2,19-3039.02; 19-3039.03
consult with or refer patients to appropriate specialists when conditions exceed the scope of practice or expertise,Consult with or refer patients to appropriate specialists when conditions exceed the scope of practice or expertise.,2,29-1161.00; 29-1171.00
consult with families or friends of the deceased to arrange funeral details such as obituary notice wording casket selection or plans for services,"Consult with families or friends of the deceased to arrange funeral details, such as obituary notice wording, casket selection, or plans for services.",2,11-9171.00; 39-4031.00
complete accident reports when necessary,Complete accident reports when necessary.,2,53-3053.00; 53-3054.00
compile or develop materials to submit to granting or other funding organizations,Compile or develop materials to submit to granting or other funding organizations.,2,11-2033.00; 13-1131.00
compare a property with similar properties that have recently sold to determine its competitive market price,Compare a property with similar properties that have recently sold to determine its competitive market price.,2,41-9021.00; 41-9022.00
assess nature and extent of illness or injury to establish and prioritize medical procedures,Assess nature and extent of illness or injury to establish and prioritize medical procedures.,2,29-2042.00; 29-2043.00
