soc_code,task_id,task_description,occupation_title,task_type
15-1299.08,14679,Configure servers to meet functional specifications.,Computer Systems Engineers/Architects,Core
15-1299.08,14670,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,Computer Systems Engineers/Architects,Core
15-1299.08,14668,"Document design specifications, installation instructions, and other system-related information.",Computer Systems Engineers/Architects,Core
15-1299.08,14691,Perform security analyses of developed or packaged software components.,Computer Systems Engineers/Architects,Core
15-1299.08,14672,Provide technical guidance or support for the development or troubleshooting of systems.,Computer Systems Engineers/Architects,Core
15-1299.08,14681,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",Computer Systems Engineers/Architects,Core
15-1299.08,14682,"Develop system engineering, software engineering, system integration, or distributed system architectures.",Computer Systems Engineers/Architects,Core
15-1299.08,14667,"Provide advice on project costs, design concepts, or design changes.",Computer Systems Engineers/Architects,Core
15-1299.08,14688,"Complete models and simulations, using manual or automated tools, to analyze or predict system performance under different operating conditions.",Computer Systems Engineers/Architects,Core
15-1299.08,14692,Develop application-specific software.,Computer Systems Engineers/Architects,Supplemental
15-1299.09,16169,"Manage project execution to ensure adherence to budget, schedule, and scope.",Information Technology Project Managers,Core
15-1299.09,16154,Confer with project personnel to identify and resolve problems.,Information Technology Project Managers,Core
15-1299.09,16157,Monitor or track project milestones and deliverables.,Information Technology Project Managers,Core
15-1299.09,16163,Direct or coordinate activities of project personnel.,Information Technology Project Managers,Core
15-1299.09,16170,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Information Technology Project Managers,Core
15-1299.09,16168,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",Information Technology Project Managers,Core
15-1299.09,16160,"Identify, review, or select vendors or consultants to meet project needs.",Information Technology Project Managers,Core
15-2011.00,3506,"Provide advice to clients on a contract basis, working as a consultant.",Actuaries,Core
15-2021.00,7373,"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",Mathematicians,Core
15-2021.00,7376,"Conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic.",Mathematicians,Core
15-2021.00,7371,Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,Mathematicians,Core
15-2021.00,7374,Develop new principles and new relationships between existing mathematical principles to advance mathematical science.,Mathematicians,Core
15-2031.00,7384,Prepare management reports defining and evaluating problems and recommending solutions.,Operations Research Analysts,Core
15-2031.00,7377,"Formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters.",Operations Research Analysts,Core
15-2031.00,7379,Analyze information obtained from management to conceptualize and define operational problems.,Operations Research Analysts,Core
15-2031.00,7383,Study and analyze information about alternative courses of action to determine which plan will offer the best outcomes.,Operations Research Analysts,Core
15-2031.00,7381,Collaborate with senior managers and decision makers to identify and solve a variety of problems and to clarify management objectives.,Operations Research Analysts,Core
15-2031.00,7390,"Develop business methods and procedures, including accounting systems, file systems, office systems, logistics systems, and production schedules.",Operations Research Analysts,Core
15-2041.00,8953,"Report results of statistical analyses, including information in the form of graphs, charts, and tables.",Statisticians,Core
15-2041.00,8966,"Develop and test experimental designs, sampling techniques, and analytical methods.",Statisticians,Core
15-2041.00,8955,"Identify relationships and trends in data, as well as any factors that could affect the results of research.",Statisticians,Core
15-2041.00,8954,"Process large amounts of data for statistical modeling and graphic analysis, using computers.",Statisticians,Core
15-2041.00,20192,Report results of statistical analyses in peer-reviewed papers and technical manuals.,Statisticians,Core
15-2041.00,8967,"Examine theories, such as those of probability and inference, to discover mathematical bases for new or improved methods of obtaining and evaluating numerical data.",Statisticians,Core
15-2041.01,16250,Write detailed analysis plans and descriptions of analyses and findings for research protocols or reports.,Biostatisticians,Core
15-2041.01,16243,"Read current literature, attend meetings or conferences, and talk with colleagues to keep abreast of methodological or conceptual developments in fields such as biostatistics, pharmacology, life sciences, and social sciences.",Biostatisticians,Core
15-2041.01,16252,Prepare tables and graphs to present clinical data or results.,Biostatisticians,Core
15-2041.01,16245,Prepare articles for publication or presentation at professional conferences.,Biostatisticians,Core
15-2041.01,16260,Collect data through surveys or experimentation.,Biostatisticians,Core
15-2051.01,16150,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",Business Intelligence Analysts,Core
15-2051.01,16139,"Maintain or update business intelligence tools, databases, dashboards, systems, or methods.",Business Intelligence Analysts,Core
15-2051.01,16140,Manage timely flow of business intelligence information to users.,Business Intelligence Analysts,Core
15-2051.01,16134,"Provide technical support for existing reports, dashboards, or other tools.",Business Intelligence Analysts,Core
15-2051.01,16141,Identify and analyze industry or geographic trends with business strategy implications.,Business Intelligence Analysts,Core
15-2051.01,16144,"Create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs.",Business Intelligence Analysts,Core
15-2051.01,16146,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",Business Intelligence Analysts,Core
15-2051.01,16143,"Disseminate information regarding tools, reports, or metadata enhancements.",Business Intelligence Analysts,Core
15-2051.01,16149,Synthesize current business intelligence or trend data to support recommendations for action.,Business Intelligence Analysts,Core
15-2051.01,16148,"Analyze competitive market strategies through analysis of related product, market, or share trends.",Business Intelligence Analysts,Core
15-2051.01,16136,"Identify or monitor current and potential customers, using business intelligence tools.",Business Intelligence Analysts,Core
15-2051.01,16138,"Communicate with customers, competitors, suppliers, professional organizations, or others to stay abreast of industry or business trends.",Business Intelligence Analysts,Core
15-2051.01,16135,"Maintain library of model documents, templates, or other reusable knowledge assets.",Business Intelligence Analysts,Core
15-2051.02,16284,"Process clinical data, including receipt, entry, verification, or filing of information.",Clinical Data Managers,Core
15-2051.02,16268,Prepare appropriate formatting to data sets as requested.,Clinical Data Managers,Core
15-2051.02,16286,"Design forms for receiving, processing, or tracking data.",Clinical Data Managers,Core
15-2051.02,16277,"Prepare data analysis listings and activity, performance, or progress reports.",Clinical Data Managers,Core
15-2051.02,16278,"Perform quality control audits to ensure accuracy, completeness, or proper usage of clinical systems and data.",Clinical Data Managers,Core
15-2051.02,16283,Analyze clinical data using appropriate statistical tools.,Clinical Data Managers,Core
15-2051.02,16272,"Contribute to the compilation, organization, and production of protocols, clinical study reports, regulatory submissions, or other controlled documentation.",Clinical Data Managers,Core
15-2051.02,16266,Read technical literature and participate in continuing education or professional associations to maintain awareness of current database technology and best practices.,Clinical Data Managers,Core
15-2051.02,16267,"Provide support and information to functional areas such as marketing, clinical monitoring, and medical affairs.",Clinical Data Managers,Supplemental
15-2099.01,17715,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.",Bioinformatics Technicians,Core
15-2099.01,17721,Conduct quality analyses of data inputs and resulting analyses or predictions.,Bioinformatics Technicians,Core
15-2099.01,17706,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",Bioinformatics Technicians,Core
15-2099.01,17720,Write computer programs or scripts to be used in querying databases.,Bioinformatics Technicians,Core
15-2099.01,17714,"Document all database changes, modifications, or problems.",Bioinformatics Technicians,Core
15-2099.01,17711,Create data management or error-checking procedures and user manuals.,Bioinformatics Technicians,Core
15-2099.01,17713,Develop or apply data mining and machine learning algorithms.,Bioinformatics Technicians,Supplemental
15-2099.01,17712,Design or implement web-based tools for querying large-scale biological databases.,Bioinformatics Technicians,Supplemental
15-2099.01,17708,"Monitor database performance and perform any necessary maintenance, upgrades, or repairs.",Bioinformatics Technicians,Supplemental
17-1011.00,130,"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.","Architects, Except Landscape and Naval",Core
17-1011.00,134,Prepare contract documents for building contractors.,"Architects, Except Landscape and Naval",Core
17-1011.00,138,Administer construction contracts.,"Architects, Except Landscape and Naval",Core
17-1021.00,3523,Build and update digital databases.,Cartographers and Photogrammetrists,Core
17-1021.00,3525,Determine guidelines that specify which source material is acceptable for use.,Cartographers and Photogrammetrists,Supplemental
17-1022.00,3545,Develop criteria for the design and modification of survey instruments.,Surveyors,Supplemental
17-1022.01,16294,Prepare progress or technical reports.,Geodetic Surveyors,Core
17-2011.00,1340,"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",Aerospace Engineers,Core
17-2011.00,1344,Evaluate and approve selection of vendors by studying past performance or new advertisements.,Aerospace Engineers,Supplemental
17-2031.00,21856,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications.",Bioengineers and Biomedical Engineers,Core
17-2031.00,8975,"Conduct research, along with life scientists, chemists, and medical scientists, on the engineering aspects of the biological systems of humans and animals.",Bioengineers and Biomedical Engineers,Core
17-2031.00,21853,Maintain databases of experiment characteristics or results.,Bioengineers and Biomedical Engineers,Core
17-2031.00,21857,"Read current scientific or trade literature to stay abreast of scientific, industrial, or technological advances.",Bioengineers and Biomedical Engineers,Core
17-2051.00,148,Inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.,Civil Engineers,Core
17-2051.01,16320,"Check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.",Transportation Engineers,Core
17-2051.01,16315,Investigate or test specific construction project materials to determine compliance to specifications or standards.,Transportation Engineers,Supplemental
17-2061.00,7399,Confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system.,Computer Hardware Engineers,Core
17-2061.00,7402,Write detailed functional specifications that document the hardware development process and support hardware introduction.,Computer Hardware Engineers,Core
17-2061.00,7401,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Computer Hardware Engineers,Core
17-2061.00,7397,Analyze user needs and recommend appropriate hardware.,Computer Hardware Engineers,Core
17-2061.00,7395,"Analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",Computer Hardware Engineers,Supplemental
17-2071.00,20730,Investigate customer or public complaints to determine the nature and extent of problems.,Electrical Engineers,Core
17-2071.00,1364,"Collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems.",Electrical Engineers,Supplemental
17-2071.00,19619,Integrate electrical systems with renewable energy systems to improve overall efficiency.,Electrical Engineers,Supplemental
17-2071.00,1365,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems.",Electrical Engineers,Supplemental
17-2072.00,5339,"Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.","Electronics Engineers, Except Computer",Core
17-2072.00,20499,Provide technical support or instruction to staff or customers regarding electronics equipment standards.,"Electronics Engineers, Except Computer",Core
17-2072.00,20495,"Analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.","Electronics Engineers, Except Computer",Core
17-2072.00,5354,"Prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.","Electronics Engineers, Except Computer",Core
17-2072.01,16371,"Collect data about existing client hardware, software, networking, or key business processes to inform implementation of radio frequency identification device (RFID) technology.",Radio Frequency Identification Device Specialists,Core
17-2081.00,1372,"Provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.",Environmental Engineers,Core
17-2112.01,16376,"Investigate theoretical or conceptual issues, such as the human design considerations of lunar landers or habitats.",Human Factors Engineers and Ergonomists,Core
17-2112.01,16382,"Perform statistical analyses, such as social network pattern analysis, network modeling, discrete event simulation, agent-based modeling, statistical natural language processing, computational sociology, mathematical optimization, or systems dynamics.",Human Factors Engineers and Ergonomists,Core
17-2112.02,18133,"Create, populate, or maintain databases for tracking validation activities, test results, or validated systems.",Validation Engineers,Core
17-2112.03,18182,Prepare reports summarizing information or trends related to manufacturing performance.,Manufacturing Engineers,Core
17-2121.00,21893,"Prepare plans, estimates, design and construction schedules, and contract specifications, including any special provisions.",Marine Engineers and Naval Architects,Core
17-2141.00,1411,"Read and interpret blueprints, technical drawings, schematics, or computer-generated reports.",Mechanical Engineers,Core
17-2141.00,1421,Recommend design modifications to eliminate machine or system malfunctions.,Mechanical Engineers,Core
17-2141.00,20741,Provide technical customer service.,Mechanical Engineers,Core
17-2141.00,20740,Solicit new business.,Mechanical Engineers,Supplemental
17-2141.02,16423,Prepare or present technical or project status reports.,Automotive Engineers,Core
17-2141.02,16425,"Write, review, or maintain engineering documentation.",Automotive Engineers,Core
17-2199.03,18159,"Analyze, interpret, or create graphical representations of energy data, using engineering software.","Energy Engineers, Except Wind and Solar",Core
17-2199.03,18157,Promote awareness or use of alternative or renewable energy sources.,"Energy Engineers, Except Wind and Solar",Core
17-2199.06,16497,"Investigate characteristics such as cost, performance, or process capability of potential microelectromechanical systems (MEMS) device designs, using simulation or modeling software.",Microsystems Engineers,Core
17-2199.06,16506,Conduct experimental or virtual studies to investigate characteristics and processing principles of potential microelectromechanical systems (MEMS) technology.,Microsystems Engineers,Supplemental
17-2199.06,16500,"Develop or validate specialized materials characterization procedures, such as thermal withstand, fatigue, notch sensitivity, abrasion, or hardness tests.",Microsystems Engineers,Supplemental
17-2199.06,16488,"Develop customer documentation, such as performance specifications, training manuals, or operating instructions.",Microsystems Engineers,Supplemental
17-2199.07,18195,Analyze system performance or operational requirements.,Photonics Engineers,Core
17-2199.07,18196,Conduct testing to determine functionality or optimization or to establish limits of photonics systems or components.,Photonics Engineers,Core
17-2199.07,18193,Conduct research on new photonics technologies.,Photonics Engineers,Core
17-2199.08,16521,Debug robotics programs.,Robotics Engineers,Core
17-2199.08,16511,Provide technical support for robotic systems.,Robotics Engineers,Core
17-2199.08,16528,"Design software to control robotic systems for applications, such as military defense or manufacturing.",Robotics Engineers,Core
17-2199.08,16514,"Document robotic application development, maintenance, or changes.",Robotics Engineers,Core
17-2199.09,16540,"Provide scientific or technical guidance or expertise to scientists, engineers, technologists, technicians, or others, using knowledge of chemical, analytical, or biological processes as applied to micro and nanoscale systems.",Nanosystems Engineers,Core
17-2199.09,16546,"Conduct research related to a range of nanotechnology topics, such as packaging, heat transfer, fluorescence detection, nanoparticle dispersion, hybrid systems, liquid systems, nanocomposites, nanofabrication, optoelectronics, or nanolithography.",Nanosystems Engineers,Core
17-2199.09,16537,"Prepare reports, deliver presentations, or participate in program review activities to communicate engineering results or recommendations.",Nanosystems Engineers,Core
17-2199.09,16542,"Design or conduct tests of new nanotechnology products, processes, or systems.",Nanosystems Engineers,Core
17-2199.09,16535,"Provide technical guidance or support to customers on topics such as nanosystem start-up, maintenance, or use.",Nanosystems Engineers,Core
17-3011.00,21920,"Analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",Architectural and Civil Drafters,Core
17-3011.00,21931,Explain drawings to production or construction teams and provide adjustments as necessary.,Architectural and Civil Drafters,Core
17-3012.00,21948,Review completed construction drawings and cost estimates for accuracy and conformity to standards and regulations.,Electrical and Electronics Drafters,Core
17-3012.00,21953,"Locate files relating to specified design project in database library, load program into computer, and record completed job data.",Electrical and Electronics Drafters,Core
17-3012.00,21961,Key and program specified commands and engineering specifications into computer system to change functions and test final layout.,Electrical and Electronics Drafters,Supplemental
17-3022.00,1465,Prepare reports and document project activities and data.,Civil Engineering Technologists and Technicians,Core
17-3022.00,1467,Inspect project site and evaluate contractor work to detect design malfunctions and ensure conformance to design specifications and applicable codes.,Civil Engineering Technologists and Technicians,Supplemental
17-3022.00,1472,Respond to public suggestions and complaints.,Civil Engineering Technologists and Technicians,Supplemental
17-3023.00,21977,"Set up and operate specialized or standard test equipment to diagnose, test, or analyze the performance of electronic components, assemblies, or systems.",Electrical and Electronic Engineering Technologists and Technicians,Core
17-3023.00,21991,"Integrate software or hardware components, using computer, microprocessor, or control architecture.",Electrical and Electronic Engineering Technologists and Technicians,Core
17-3024.00,10892,"Test performance of electromechanical assemblies, using test instruments such as oscilloscopes, electronic voltmeters, or bridges.",Electro-Mechanical and Mechatronics Technologists and Technicians,Core
17-3024.00,20743,Prepare written documentation of electromechanical test results.,Electro-Mechanical and Mechatronics Technologists and Technicians,Supplemental
17-3024.00,22017,"Select and use laboratory, operational, or diagnostic techniques or test equipment to assess electromechanical circuits, equipment, processes, systems, or subsystems.",Electro-Mechanical and Mechatronics Technologists and Technicians,Supplemental
17-3025.00,3644,Review technical documents to ensure completeness and conformance to requirements.,Environmental Engineering Technologists and Technicians,Core
17-3025.00,3647,"Obtain product information, identify vendors or suppliers, or order materials or equipment to maintain inventory.",Environmental Engineering Technologists and Technicians,Supplemental
17-3026.01,22052,Collect or compile nanotechnology research or engineering data.,Nanotechnology Engineering Technologists and Technicians,Core
17-3027.00,22082,"Interpret engineering sketches, specifications, or drawings.",Mechanical Engineering Technologists and Technicians,Core
17-3027.00,22087,"Test machines, components, materials, or products to determine characteristics such as performance, strength, or response to stress.",Mechanical Engineering Technologists and Technicians,Core
17-3027.00,1486,"Record test procedures and results, numerical and graphical data, and recommendations for changes in product or test methods.",Mechanical Engineering Technologists and Technicians,Core
17-3027.00,22085,"Prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",Mechanical Engineering Technologists and Technicians,Core
17-3027.01,16606,"Document test results, using cameras, spreadsheets, documents, or other tools.",Automotive Engineering Technicians,Core
17-3027.01,16602,"Read and interpret blueprints, schematics, work specifications, drawings, or charts.",Automotive Engineering Technicians,Core
19-1012.00,7490,Study the structure and composition of food or the changes foods undergo in storage and processing.,Food Scientists and Technologists,Core
19-1012.00,7493,Demonstrate products to clients.,Food Scientists and Technologists,Core
19-1013.00,9021,"Communicate research or project results to other professionals or the public or teach related courses, seminars, or workshops.",Soil and Plant Scientists,Core
19-1013.00,9040,"Identify or classify species of insects or allied forms, such as mites or spiders.",Soil and Plant Scientists,Supplemental
19-1021.00,12929,"Prepare reports or recommendations, based upon research outcomes.",Biochemists and Biophysicists,Core
19-1021.00,12935,Study the mutations in organisms that lead to cancer or other diseases.,Biochemists and Biophysicists,Core
19-1021.00,12941,Research how characteristics of plants or animals are carried through successive generations.,Biochemists and Biophysicists,Core
19-1021.00,12943,"Investigate the nature, composition, or expression of genes or research how genetic engineering can impact these processes.",Biochemists and Biophysicists,Supplemental
19-1021.00,12945,"Produce pharmaceutically or industrially useful proteins, using recombinant DNA technology.",Biochemists and Biophysicists,Supplemental
19-1022.00,3675,"Examine physiological, morphological, and cultural characteristics, using microscope, to identify and classify microorganisms in human, water, and food specimens.",Microbiologists,Core
19-1022.00,3677,"Observe action of microorganisms upon living tissues of plants, higher animals, and other microorganisms, and on dead organic matter.",Microbiologists,Core
19-1022.00,3684,"Conduct chemical analyses of substances such as acids, alcohols, and enzymes.",Microbiologists,Core
19-1023.00,1494,Analyze characteristics of animals to identify and classify them.,Zoologists and Wildlife Biologists,Core
19-1029.01,16786,Develop new software applications or customize existing applications to meet specific scientific project needs.,Bioinformatics Scientists,Core
19-1029.01,16792,"Communicate research results through conference presentations, scientific publications, or project reports.",Bioinformatics Scientists,Core
19-1029.01,16794,"Consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies.",Bioinformatics Scientists,Core
19-1029.01,16787,Develop data models and databases.,Bioinformatics Scientists,Core
19-1029.01,16789,"Design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms.",Bioinformatics Scientists,Core
19-1029.01,16788,Create or modify web-based bioinformatics tools.,Bioinformatics Scientists,Core
19-1029.01,16780,Test new and updated bioinformatics tools and software.,Bioinformatics Scientists,Supplemental
19-1029.01,16782,Prepare summary statistics of information regarding human genomes.,Bioinformatics Scientists,Supplemental
19-1029.02,16805,"Perform laboratory procedures following protocols including deoxyribonucleic acid (DNA) sequencing, cloning and extraction, ribonucleic acid (RNA) purification, or gel electrophoresis.",Molecular and Cellular Biologists,Core
19-1029.02,16810,"Direct, coordinate, organize, or prioritize biological laboratory activities.",Molecular and Cellular Biologists,Core
19-1029.02,16816,"Conduct applied research aimed at improvements in areas such as disease testing, crop quality, pharmaceuticals, and the harnessing of microbes to recycle waste.",Molecular and Cellular Biologists,Core
19-1029.02,16797,"Participate in all levels of bioproduct development, including proposing new products, performing market analyses, designing and performing experiments, and collaborating with operations and quality control teams during product launches.",Molecular and Cellular Biologists,Supplemental
19-1029.03,16839,"Plan or conduct basic genomic and biological research related to areas such as regulation of gene expression, protein interactions, metabolic networks, and nucleic acid or protein complexes.",Geneticists,Core
19-1029.03,16831,Prepare results of experimental findings for presentation at professional conferences or in scientific journals.,Geneticists,Core
19-1029.03,16830,Search scientific literature to select and modify methods and procedures most appropriate for genetic research goals.,Geneticists,Core
19-1029.03,16829,"Review, approve, or interpret genetic laboratory results.",Geneticists,Core
19-1029.03,16840,"Analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",Geneticists,Core
19-1029.03,16838,Conduct family medical studies to evaluate the genetic basis for traits or diseases.,Geneticists,Supplemental
19-1029.04,187,"Study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and function.",Biologists,Core
19-1029.04,176,"Study aquatic plants and animals and environmental conditions affecting them, such as radioactivity or pollution.",Biologists,Supplemental
19-1029.04,185,Teach or supervise students and perform research at universities and colleges.,Biologists,Supplemental
19-1041.00,5427,"Consult with and advise physicians, educators, researchers, government health officials and others regarding medical applications of sciences, such as physics, biology, and chemistry.",Epidemiologists,Core
19-1042.00,20200,"Conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public.","Medical Scientists, Except Epidemiologists",Core
19-2011.00,7525,"Analyze research data to determine its significance, using computers.",Astronomers,Core
19-2011.00,7524,"Study celestial phenomena, using a variety of ground-based and space-borne telescopes and scientific instruments.",Astronomers,Core
19-2011.00,7528,Develop theories based on personal observations or on observations and theories of other astronomers.,Astronomers,Core
19-2011.00,7531,Develop instrumentation and software for astronomical observation and analysis.,Astronomers,Core
19-2011.00,20049,Review scientific proposals and research papers.,Astronomers,Core
19-2011.00,7533,Develop and modify astronomy-related programs for public presentation.,Astronomers,Core
19-2011.00,7534,"Calculate orbits and determine sizes, shapes, brightness, and motions of different celestial bodies.",Astronomers,Core
19-2012.00,10903,"Perform complex calculations as part of the analysis and evaluation of data, using computers.",Physicists,Core
19-2012.00,10907,Design computer simulations to model physical data so that it can be better understood.,Physicists,Core
19-2021.00,20210,"Conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate.",Atmospheric and Space Scientists,Core
19-2021.00,9069,"Gather data from sources such as surface or upper air stations, satellites, weather bureaus, or radar for use in meteorological reports or forecasts.",Atmospheric and Space Scientists,Core
19-2031.00,1505,"Analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",Chemists,Core
19-2031.00,1508,"Confer with scientists or engineers to conduct analyses of research projects, interpret test results, or develop nonstandard tests.",Chemists,Core
19-2032.00,9098,"Test metals to determine conformance to specifications of mechanical strength, strength-weight ratio, ductility, magnetic and electrical properties, and resistance to abrasion, corrosion, heat, and cold.",Materials Scientists,Core
19-2032.00,20214,"Prepare reports, manuscripts, proposals, and technical manuals for use by other scientists and requestors, such as sponsors and customers.",Materials Scientists,Core
19-2032.00,20213,"Perform experiments and computer modeling to study the nature, structure, and physical and chemical properties of metals and their alloys, and their responses to applied forces.",Materials Scientists,Core
19-2032.00,9086,Confer with customers to determine how to tailor materials to their needs.,Materials Scientists,Core
19-2041.00,15218,"Collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples.","Environmental Scientists and Specialists, Including Health",Core
19-2041.00,15221,"Process and review environmental permits, licenses, or related materials.","Environmental Scientists and Specialists, Including Health",Core
19-2041.00,1515,Evaluate violations or problems discovered during inspections to determine appropriate regulatory actions or to provide advice on the development and prosecution of regulatory cases.,"Environmental Scientists and Specialists, Including Health",Supplemental
19-2041.00,1520,"Analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects.","Environmental Scientists and Specialists, Including Health",Supplemental
19-2041.00,1522,Determine data collection methods to be employed in research projects or surveys.,"Environmental Scientists and Specialists, Including Health",Supplemental
19-2041.00,1534,"Plan or develop research models, using knowledge of mathematical and statistical concepts.","Environmental Scientists and Specialists, Including Health",Supplemental
19-2041.03,19971,Examine societal issues and their relationship with both technical systems and the environment.,Industrial Ecologists,Core
19-2042.00,20390,"Locate and review research articles or environmental, historical, or technical reports.","Geoscientists, Except Hydrologists and Geographers",Core
19-2042.00,3716,Develop applied software for the analysis and interpretation of geological data.,"Geoscientists, Except Hydrologists and Geographers",Supplemental
19-2043.00,18618,"Prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",Hydrologists,Core
19-2043.00,9118,"Review applications for site plans and permits and recommend approval, denial, modification, or further investigative action.",Hydrologists,Core
19-2099.01,18260,Organize and maintain geospatial data and associated documentation.,Remote Sensing Scientists and Technologists,Core
19-2099.01,18265,Compile and format image data to increase its usefulness.,Remote Sensing Scientists and Technologists,Core
19-3011.00,7536,"Study economic and statistical data in area of specialization, such as finance, labor, or agriculture.",Economists,Core
19-3011.00,7538,"Compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques.",Economists,Core
19-3011.00,7537,"Provide advice and consultation on economic relationships to businesses, public and private agencies, and other employers.",Economists,Core
19-3011.01,16902,Write technical documents or academic articles to communicate study results or economic forecasts.,Environmental Economists,Core
19-3011.01,16909,"Develop economic models, forecasts, or scenarios to predict future economic and environmental outcomes.",Environmental Economists,Core
19-3022.00,7548,"Review, classify, and record survey data in preparation for computer analysis.",Survey Researchers,Core
19-3022.00,7553,"Monitor and evaluate survey progress and performance, using sample disposition reports and response rate calculations.",Survey Researchers,Core
19-3022.00,7545,"Prepare and present summaries and analyses of survey data, including tables, graphs, and fact sheets that describe survey techniques and results.",Survey Researchers,Core
19-3022.00,7550,"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews.",Survey Researchers,Core
19-3022.00,7549,Conduct research to gather information about survey topics.,Survey Researchers,Core
19-3022.00,7547,"Analyze data from surveys, old records, or case studies, using statistical software.",Survey Researchers,Core
19-3032.00,20230,Provide advice on best practices and implementation for selection.,Industrial-Organizational Psychologists,Core
19-3032.00,7561,"Analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions.",Industrial-Organizational Psychologists,Core
19-3032.00,7564,"Advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",Industrial-Organizational Psychologists,Core
19-3032.00,20229,Coach senior executives and managers on leadership and performance.,Industrial-Organizational Psychologists,Core
19-3032.00,20227,"Develop new business by contacting potential clients, making sales presentations, and writing proposals.",Industrial-Organizational Psychologists,Core
19-3032.00,20224,Review research literature to remain current on psychological science issues.,Industrial-Organizational Psychologists,Core
19-3032.00,7573,Counsel workers about job and career-related issues.,Industrial-Organizational Psychologists,Core
19-3032.00,7574,"Study consumers' reactions to new products and package designs, and to advertising efforts, using surveys and tests.",Industrial-Organizational Psychologists,Supplemental
19-3033.00,22163,"Collect information about individuals or clients, using interviews, case histories, observational techniques, and other assessment methods.",Clinical and Counseling Psychologists,Core
19-3033.00,22175,Advise clients on how they could be helped by counseling.,Clinical and Counseling Psychologists,Core
19-3034.00,5447,"Report any pertinent information to the proper authorities in cases of child endangerment, neglect, or abuse.",School Psychologists,Core
19-3034.00,5461,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems.",School Psychologists,Core
19-3034.00,5463,Conduct research to generate new knowledge that can be used to address learning and behavior issues.,School Psychologists,Supplemental
19-3041.00,5465,Analyze and interpret data to increase the understanding of human social behavior.,Sociologists,Core
19-3041.00,5464,Prepare publications and reports containing research findings.,Sociologists,Core
19-3041.00,5467,"Collect data about the attitudes, values, and behaviors of people in groups, using observation, interviews, and review of documents.",Sociologists,Core
19-3041.00,5466,"Plan and conduct research to develop and test theories about societal issues such as crime, group relations, poverty, and aging.",Sociologists,Core
