task_description,api_count,task_lower,soc_code,task_id,occupation_title
"develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue, to create material.",4631.0,"develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue, to create material.",,,
"develop graphics and layouts for product illustrations, company logos, and web sites.",54.0,"develop graphics and layouts for product illustrations, company logos, and web sites.",27-1024.00,306.0,Graphic Designers
"develop ideas for creating dances, keeping notes and sketches to record influences.",877.0,"develop ideas for creating dances, keeping notes and sketches to record influences.",27-2032.00,11036.0,Choreographers
"develop individualized treatment plans for patients, considering patient preferences, clinical data, or the risks and benefits of therapies.",81.0,"develop individualized treatment plans for patients, considering patient preferences, clinical data, or the risks and benefits of therapies.",29-1229.01,17071.0,Allergists and Immunologists
develop instructional materials and conduct in-service and community-based educational programs.,82.0,develop instructional materials and conduct in-service and community-based educational programs.,11-9111.00,63.0,Medical and Health Services Managers
develop instructional materials and products for technology-based redesign of courses.,148.0,develop instructional materials and products for technology-based redesign of courses.,,,
develop instructional materials to be used by educators and instructors.,2307.0,develop instructional materials to be used by educators and instructors.,,,
"develop instructional materials, such as lesson plans, handouts, or examinations.",1806.0,"develop instructional materials, such as lesson plans, handouts, or examinations.",25-9031.00,22444.0,Instructional Coordinators
develop instrumentation and software for astronomical observation and analysis.,40.0,develop instrumentation and software for astronomical observation and analysis.,19-2011.00,7531.0,Astronomers
"develop interview techniques, rating scales, and psychological tests used to assess skills, abilities, and interests for the purpose of employee selection, placement, and promotion.",76.0,"develop interview techniques, rating scales, and psychological tests used to assess skills, abilities, and interests for the purpose of employee selection, placement, and promotion.",,,
"develop lists of prospective clients from sources such as newspaper items, company records, local merchants, or customers.",62.0,"develop lists of prospective clients from sources such as newspaper items, company records, local merchants, or customers.",,,
"develop manuals, texts, workbooks, or related materials for use in conjunction with production materials or for training.",52.0,"develop manuals, texts, workbooks, or related materials for use in conjunction with production materials or for training.",27-4011.00,4005.0,Audio and Video Technicians
"develop marketing materials, proposals, or presentation to generate new work opportunities.",52.0,"develop marketing materials, proposals, or presentation to generate new work opportunities.",,,
develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,113.0,develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.,15-2021.00,7371.0,Mathematicians
"develop methods of assessing or measuring corporate performance in terms of environmental, social, and governance (esg) issues.",23.0,"develop methods of assessing or measuring corporate performance in terms of environmental, social, and governance (esg) issues.",13-2099.01,19574.0,Financial Quantitative Analysts
"develop networks of attorneys, mortgage lenders, and contractors to whom clients may be referred.",40.0,"develop networks of attorneys, mortgage lenders, and contractors to whom clients may be referred.",41-9022.00,2463.0,Real Estate Sales Agents
"develop new business by contacting potential clients, making sales presentations, and writing proposals.",135.0,"develop new business by contacting potential clients, making sales presentations, and writing proposals.",19-3032.00,20227.0,Industrial-Organizational Psychologists
develop new chemical engineering processes or production techniques.,36.0,develop new chemical engineering processes or production techniques.,19-4031.00,1547.0,Chemical Technicians
develop new principles and new relationships between existing mathematical principles to advance mathematical science.,67.0,develop new principles and new relationships between existing mathematical principles to advance mathematical science.,15-2021.00,7374.0,Mathematicians
develop new software applications or customize existing applications to meet specific scientific project needs.,3504.0,develop new software applications or customize existing applications to meet specific scientific project needs.,19-1029.01,16786.0,Bioinformatics Scientists
develop or analyze information to assess the current or future financial status of firms.,711.0,develop or analyze information to assess the current or future financial status of firms.,11-3031.00,21321.0,Financial Managers
develop or apply data mining and machine learning algorithms.,17956.0,develop or apply data mining and machine learning algorithms.,15-2099.01,17713.0,Bioinformatics Technicians
"develop or configure document management system features, such as user interfaces, access profiles, and document workflow procedures.",376.0,"develop or configure document management system features, such as user interfaces, access profiles, and document workflow procedures.",15-1299.03,16240.0,Document Management Specialists
develop or coordinate fitness and wellness programs or services.,22.0,develop or coordinate fitness and wellness programs or services.,11-9179.01,15562.0,Fitness and Wellness Coordinators
develop or direct software system testing or validation procedures.,2405.0,develop or direct software system testing or validation procedures.,,,
develop or direct study courses or religious education programs within congregations.,33.0,develop or direct study courses or religious education programs within congregations.,21-2021.00,12977.0,"Directors, Religious Activities and Education"
develop or document style guidelines for web site content.,336.0,develop or document style guidelines for web site content.,15-1299.01,14759.0,Web Administrators
develop or implement electronic maintenance programs or computer information management systems.,238.0,develop or implement electronic maintenance programs or computer information management systems.,49-1011.00,2931.0,"First-Line Supervisors of Mechanics, Installers, and Repairers"
develop or implement fund investment policies or strategies.,46.0,develop or implement fund investment policies or strategies.,11-3031.03,15675.0,Investment Fund Managers
develop or implement marketing strategies.,103.0,develop or implement marketing strategies.,11-9179.02,17615.0,Spa Managers
"develop or implement policies or practices to ensure the privacy, confidentiality, or security of patient information.",579.0,"develop or implement policies or practices to ensure the privacy, confidentiality, or security of patient information.",15-1211.01,18097.0,Health Informatics Specialists
develop or implement procedures for ongoing web site revision.,1069.0,develop or implement procedures for ongoing web site revision.,15-1254.00,14714.0,Web Developers
develop or implement procedures for ongoing web site revision.,1069.0,develop or implement procedures for ongoing web site revision.,15-1255.00,21695.0,Web and Digital Interface Designers
develop or implement procedures for ongoing web site revision.,1069.0,develop or implement procedures for ongoing web site revision.,15-1299.01,14754.0,Web Administrators
develop or implement procedures or systems to evaluate or select suppliers.,19.0,develop or implement procedures or systems to evaluate or select suppliers.,11-3071.04,15692.0,Supply Chain Managers
"develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",55.0,"develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",11-1021.00,945.0,General and Operations Managers
develop or implement risk-assessment models or methodologies.,118.0,develop or implement risk-assessment models or methodologies.,13-2054.00,21613.0,Financial Risk Specialists
"develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",179.0,"develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation.",15-2099.01,17706.0,Bioinformatics Technicians
"develop or maintain archived procedures, procedural codes, or queries for applications.",92.0,"develop or maintain archived procedures, procedural codes, or queries for applications.",15-1243.00,16106.0,Database Architects
"develop or maintain cost estimates, forecasts, or cost models.",60.0,"develop or maintain cost estimates, forecasts, or cost models.",13-1081.01,15872.0,Logistics Engineers
develop or maintain internal or external company web sites.,2296.0,develop or maintain internal or external company web sites.,43-6014.00,20288.0,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
develop or maintain payment systems to ensure accuracy of vendor payments.,75.0,develop or maintain payment systems to ensure accuracy of vendor payments.,13-1081.02,15884.0,Logistics Analysts
"develop or maintain standards, such as organization, structure, or nomenclature, for the design of data warehouse elements, such as data architectures, models, tools, and databases.",84.0,"develop or maintain standards, such as organization, structure, or nomenclature, for the design of data warehouse elements, such as data architectures, models, tools, and databases.",15-1243.01,16127.0,Data Warehousing Specialists
"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",476.0,"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",,,
"develop or provide technical resources, such as course management and videoconferencing systems, networking, and webcasting, for distance learning programs.",26.0,"develop or provide technical resources, such as course management and videoconferencing systems, networking, and webcasting, for distance learning programs.",,,
"develop or recommend network security measures, such as firewalls, network security audits, or automated security probes.",70.0,"develop or recommend network security measures, such as firewalls, network security audits, or automated security probes.",15-1241.00,18971.0,Computer Network Architects
"develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",49.0,"develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",15-1299.09,16170.0,Information Technology Project Managers
"develop or validate specialized materials characterization procedures, such as thermal withstand, fatigue, notch sensitivity, abrasion, or hardness tests.",28.0,"develop or validate specialized materials characterization procedures, such as thermal withstand, fatigue, notch sensitivity, abrasion, or hardness tests.",17-2199.06,16500.0,Microsystems Engineers
"develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",25.0,"develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",15-1212.00,5314.0,Information Security Analysts
"develop preproduction ideas and incorporate them into outlines, scripts, story boards, and graphics.",188.0,"develop preproduction ideas and incorporate them into outlines, scripts, story boards, and graphics.",,,
"develop problem intervention procedures, using techniques such as interviews, consultations, role playing, and participant observation of group interactions.",48.0,"develop problem intervention procedures, using techniques such as interviews, consultations, role playing, and participant observation of group interactions.",19-3041.00,5475.0,Sociologists
develop program plans for individuals or assist in plan development.,18.0,develop program plans for individuals or assist in plan development.,39-9041.00,6980.0,Residential Advisors
develop prospect lists.,155.0,develop prospect lists.,41-9091.00,13238.0,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
"develop prospects from current commercial customers, referral leads, or sales or trade meetings.",90.0,"develop prospects from current commercial customers, referral leads, or sales or trade meetings.",,,
"develop relationships and communicate with customers, site managers, developers, land owners, authorities, utility representatives, or residents.",62.0,"develop relationships and communicate with customers, site managers, developers, land owners, authorities, utility representatives, or residents.",11-9199.09,15819.0,Wind Energy Operations Managers
develop software applications or programming to use for statistical modeling and graphic analysis.,58.0,develop software applications or programming to use for statistical modeling and graphic analysis.,,,
develop specialized computer software routines to customize and integrate image analysis.,344.0,develop specialized computer software routines to customize and integrate image analysis.,19-4099.03,16984.0,Remote Sensing Technicians
develop standards and guidelines to guide the use and acquisition of software and to protect vulnerable information.,671.0,develop standards and guidelines to guide the use and acquisition of software and to protect vulnerable information.,,,
"develop story or content ideas, considering reader or audience appeal.",45.0,"develop story or content ideas, considering reader or audience appeal.",27-3041.00,1782.0,Editors
"develop system engineering, software engineering, system integration, or distributed system architectures.",63.0,"develop system engineering, software engineering, system integration, or distributed system architectures.",15-1299.08,14682.0,Computer Systems Engineers/Architects
develop system interaction or sequence diagrams.,75.0,develop system interaction or sequence diagrams.,15-1254.00,14730.0,Web Developers
develop system interaction or sequence diagrams.,75.0,develop system interaction or sequence diagrams.,15-1255.00,21696.0,Web and Digital Interface Designers
"develop teaching aids such as instructional software, multimedia visual aids, or study materials.",628.0,"develop teaching aids such as instructional software, multimedia visual aids, or study materials.",,,
"develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course web sites.",312.0,"develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course web sites.",25-9044.00,10967.0,"Teaching Assistants, Postsecondary"
"develop teaching or training materials, such as handouts, study materials, or quizzes.",1072.0,"develop teaching or training materials, such as handouts, study materials, or quizzes.",25-3041.00,17031.0,Tutors
"develop tests, questionnaires, and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met.",135.0,"develop tests, questionnaires, and procedures that measure the effectiveness of curricula and use these tools to determine whether program objectives are being met.",,,
develop theories based on personal observations or on observations and theories of other astronomers.,24.0,develop theories based on personal observations or on observations and theories of other astronomers.,19-2011.00,7528.0,Astronomers
"develop training materials and procedures, or train users in the proper use of hardware or software.",20.0,"develop training materials and procedures, or train users in the proper use of hardware or software.",15-1232.00,1290.0,Computer User Support Specialists
develop training programs or routines designed to improve athletic performance.,22.0,develop training programs or routines designed to improve athletic performance.,29-9091.00,4229.0,Athletic Trainers
"develop transactional web applications, using web programming software and knowledge of programming languages, such as hypertext markup language (html) and extensible markup language (xml).",1279.0,"develop transactional web applications, using web programming software and knowledge of programming languages, such as hypertext markup language (html) and extensible markup language (xml).",13-1161.01,16184.0,Search Marketing Strategists
"develop treatment plan to meet needs of patient, based on needs assessment, patient interests and objectives of therapy.",29.0,"develop treatment plan to meet needs of patient, based on needs assessment, patient interests and objectives of therapy.",,,
"develop treatment plans based on scientific rationale, standards of care, and professional practice guidelines.",27.0,"develop treatment plans based on scientific rationale, standards of care, and professional practice guidelines.",,,
"develop web site maps, application models, image templates, or page templates that meet project goals, user needs, or industry standards.",391.0,"develop web site maps, application models, image templates, or page templates that meet project goals, user needs, or industry standards.",15-1255.00,21697.0,Web and Digital Interface Designers
"develop, administer and evaluate applicant tests.",37.0,"develop, administer and evaluate applicant tests.",,,
"develop, copy, or adapt designs for garments, and design patterns to fit measurements, applying knowledge of garment design, construction, styling, and fabric.",768.0,"develop, copy, or adapt designs for garments, and design patterns to fit measurements, applying knowledge of garment design, construction, styling, and fabric.",51-6052.00,12188.0,"Tailors, Dressmakers, and Custom Sewers"
"develop, implement or evaluate health information technology applications, tools, processes or structures to assist nurses with data management.",33.0,"develop, implement or evaluate health information technology applications, tools, processes or structures to assist nurses with data management.",,,
"develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",362.0,"develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",13-2011.00,21521.0,Accountants and Auditors
"develop, maintain, and analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.",17.0,"develop, maintain, and analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.",,,
"develop, maintain, and teach online courses.",25.0,"develop, maintain, and teach online courses.",25-1125.00,20102.0,"History Teachers, Postsecondary"
"develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, web pages, electronic pathfinders, software programs, and online tutorials.",30.0,"develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, web pages, electronic pathfinders, software programs, and online tutorials.",25-4022.00,22425.0,Librarians and Media Collections Specialists
"develop, present, or respond to proposals for specific customer requirements, including request for proposal responses and industry-specific solutions.",134.0,"develop, present, or respond to proposals for specific customer requirements, including request for proposal responses and industry-specific solutions.",41-9031.00,9682.0,Sales Engineers
"develop, recommend, or manage security procedures for operations or processes, such as security call centers, system acquisition, development, and maintenance, access control, program models, or reporting tools.",71.0,"develop, recommend, or manage security procedures for operations or processes, such as security call centers, system acquisition, development, and maintenance, access control, program models, or reporting tools.",,,
"develop, standardize, evaluate, or modify procedures, techniques, or tests used in the analysis of specimens or in medical laboratory experiments.",15.0,"develop, standardize, evaluate, or modify procedures, techniques, or tests used in the analysis of specimens or in medical laboratory experiments.",29-2011.00,1895.0,Medical and Clinical Laboratory Technologists
"devise and evaluate methods and procedures for collecting data, such as surveys, opinion polls, or questionnaires, or arrange to obtain existing data.",35.0,"devise and evaluate methods and procedures for collecting data, such as surveys, opinion polls, or questionnaires, or arrange to obtain existing data.",13-1161.00,5443.0,Market Research Analysts and Marketing Specialists
"devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",44.0,"devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",11-2011.00,21224.0,Advertising and Promotions Managers
"devise scalable recovery, purification, or fermentation processes for producing proteins or other biological substances for human or animal therapeutic use, food production or processing, biofuels, or effluent treatment.",16.0,"devise scalable recovery, purification, or fermentation processes for producing proteins or other biological substances for human or animal therapeutic use, food production or processing, biofuels, or effluent treatment.",,,
"devise trading, option, or hedge strategies.",181.0,"devise trading, option, or hedge strategies.",41-3031.00,23207.0,"Securities, Commodities, and Financial Services Sales Agents"
"diagnose and correct problems from remote locations, using special switchboards to find the sources of problems.",72.0,"diagnose and correct problems from remote locations, using special switchboards to find the sources of problems.",49-2022.00,11673.0,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
"diagnose diseases or study medical conditions using techniques such as gross pathology, histology, cytology, cytopathology, clinical chemistry, immunology, flow cytometry, and molecular biology.",91.0,"diagnose diseases or study medical conditions using techniques such as gross pathology, histology, cytology, cytopathology, clinical chemistry, immunology, flow cytometry, and molecular biology.",,,
"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",7442.0,"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",15-1244.00,15205.0,Network and Computer Systems Administrators
"direct and coordinate construction, erection, or decoration activities in order to ensure that sets or exhibits meet design, budget, and schedule requirements.",15.0,"direct and coordinate construction, erection, or decoration activities in order to ensure that sets or exhibits meet design, budget, and schedule requirements.",,,
"direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or in performing services for customers.",43.0,"direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or in performing services for customers.",41-1011.00,660.0,First-Line Supervisors of Retail Sales Workers
"direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or performing specific services.",18.0,"direct and supervise employees engaged in sales, inventory-taking, reconciling cash receipts, or performing specific services.",41-1012.00,20266.0,First-Line Supervisors of Non-Retail Sales Workers
"direct crop production operations, such as planning, tilling, planting, fertilizing, cultivating, spraying, or harvesting.",24.0,"direct crop production operations, such as planning, tilling, planting, fertilizing, cultivating, spraying, or harvesting.",,,
"direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",24.0,"direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",11-3021.00,968.0,Computer and Information Systems Managers
"direct live broadcasts, films and recordings, or non-broadcast programming for public entertainment or education.",800.0,"direct live broadcasts, films and recordings, or non-broadcast programming for public entertainment or education.",27-2012.00,22517.0,Producers and Directors
direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,24.0,direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,11-1011.00,8847.0,Chief Executives
direct or coordinate activities of project personnel.,60.0,direct or coordinate activities of project personnel.,15-1299.09,16163.0,Information Technology Project Managers
"direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",17.0,"direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",11-1011.00,8823.0,Chief Executives
direct or provide home health services.,108.0,direct or provide home health services.,29-1141.02,17314.0,Advanced Practice Psychiatric Nurses
"direct rehearsals to instruct dancers in how to use dance steps, and in techniques to achieve desired effects.",45.0,"direct rehearsals to instruct dancers in how to use dance steps, and in techniques to achieve desired effects.",,,
direct software programming and development of documentation.,531.0,direct software programming and development of documentation.,,,
direct studio productions.,75.0,direct studio productions.,27-4031.00,18669.0,"Camera Operators, Television, Video, and Film"
"direct, coordinate, organize, or prioritize biological laboratory activities.",20.0,"direct, coordinate, organize, or prioritize biological laboratory activities.",19-1029.02,16810.0,Molecular and Cellular Biologists
"direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",15.0,"direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",11-1011.00,8826.0,Chief Executives
discuss data presentation requirements with clients.,60.0,discuss data presentation requirements with clients.,43-9111.00,9794.0,Statistical Assistants
discuss the treatment of problems with clients.,640.0,discuss the treatment of problems with clients.,,,
"display commercial, industrial, agricultural, and residential properties to clients and explain their features.",201.0,"display commercial, industrial, agricultural, and residential properties to clients and explain their features.",41-9022.00,2450.0,Real Estate Sales Agents
"disseminate information regarding tools, reports, or metadata enhancements.",114.0,"disseminate information regarding tools, reports, or metadata enhancements.",15-2051.01,16143.0,Business Intelligence Analysts
"document account activities, generate reports, and keep records of business transactions with customers and suppliers.",60.0,"document account activities, generate reports, and keep records of business transactions with customers and suppliers.",41-9031.00,9698.0,Sales Engineers
"document activities and record information, such as the numbers of applications completed, presentations conducted, and persons assisted.",27.0,"document activities and record information, such as the numbers of applications completed, presentations conducted, and persons assisted.",21-1091.00,9216.0,Health Education Specialists
"document all database changes, modifications, or problems.",601.0,"document all database changes, modifications, or problems.",15-2099.01,17714.0,Bioinformatics Technicians
"document and communicate database schemas, using accepted notations.",669.0,"document and communicate database schemas, using accepted notations.",15-1243.00,16105.0,Database Architects
document and maintain records of precision agriculture information.,22.0,document and maintain records of precision agriculture information.,19-4012.01,18295.0,Precision Agriculture Technicians
"document computer security and emergency measures policies, procedures, and tests.",247.0,"document computer security and emergency measures policies, procedures, and tests.",15-1212.00,5322.0,Information Security Analysts
"document data related to patients' care including assessment results, interventions, medications, patient responses, or treatment changes.",46.0,"document data related to patients' care including assessment results, interventions, medications, patient responses, or treatment changes.",,,
"document design specifications, installation instructions, and other system-related information.",40.0,"document design specifications, installation instructions, and other system-related information.",15-1299.08,14668.0,Computer Systems Engineers/Architects
"document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",193.0,"document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",13-1111.00,7282.0,Management Analysts
document help desk requests and resolutions.,149.0,document help desk requests and resolutions.,15-1231.00,19007.0,Computer Network Support Specialists
document methods used and write technical reports containing information collected.,444.0,document methods used and write technical reports containing information collected.,19-4099.03,16983.0,Remote Sensing Technicians
document network support activities.,18.0,document network support activities.,15-1231.00,18993.0,Computer Network Support Specialists
"document non-destructive testing (ndt) methods, processes, or results.",22.0,"document non-destructive testing (ndt) methods, processes, or results.",,,
document or review patients' histories.,28.0,document or review patients' histories.,29-1229.03,17283.0,Urologists
"document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes.",16.0,"document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes.",29-1141.02,17329.0,Advanced Practice Psychiatric Nurses
document patients' medical histories and assessment findings.,20.0,document patients' medical histories and assessment findings.,29-1141.03,18341.0,Critical Care Nurses
"document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",18.0,"document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",11-3071.04,15691.0,Supply Chain Managers
"document robotic application development, maintenance, or changes.",60.0,"document robotic application development, maintenance, or changes.",17-2199.08,16514.0,Robotics Engineers
"document security transactions, such as purchases, sales, conversions, redemptions, or payments, using computers, accounting ledgers, or certificate records.",176.0,"document security transactions, such as purchases, sales, conversions, redemptions, or payments, using computers, accounting ledgers, or certificate records.",43-4011.00,20622.0,Brokerage Clerks
"document software defects, using a bug tracking system, and report defects to software developers.",7363.0,"document software defects, using a bug tracking system, and report defects to software developers.",15-1253.00,14641.0,Software Quality Assurance Analysts and Testers
document technical functions and specifications for new or proposed content management systems.,47.0,document technical functions and specifications for new or proposed content management systems.,15-1299.03,16228.0,Document Management Specialists
document technical specifications and operating standards for telecommunications equipment.,49.0,document technical specifications and operating standards for telecommunications equipment.,15-1241.01,16077.0,Telecommunications Engineering Specialists
"document test results, using cameras, spreadsheets, documents, or other tools.",440.0,"document test results, using cameras, spreadsheets, documents, or other tools.",17-3027.01,16606.0,Automotive Engineering Technicians
"document the performance, interpretation, or outcomes of all procedures performed.",214.0,"document the performance, interpretation, or outcomes of all procedures performed.",29-1224.00,17248.0,Radiologists
"document user support activity, such as system problems, corrective actions, resolution status, and completed equipment installations.",50.0,"document user support activity, such as system problems, corrective actions, resolution status, and completed equipment installations.",15-1241.01,16076.0,Telecommunications Engineering Specialists
"document, design, code, or test geographic information systems (gis) models, internet mapping solutions, or other applications.",83.0,"document, design, code, or test geographic information systems (gis) models, internet mapping solutions, or other applications.",15-1299.02,21730.0,Geographic Information Systems Technologists and Technicians
"draw charts and graphs, using computer spreadsheets, to illustrate technical reports.",41.0,"draw charts and graphs, using computer spreadsheets, to illustrate technical reports.",13-2051.00,21589.0,Financial and Investment Analysts
"draw charts and graphs, using computer spreadsheets, to illustrate technical reports.",41.0,"draw charts and graphs, using computer spreadsheets, to illustrate technical reports.",13-2054.00,21617.0,Financial Risk Specialists
draw conclusions or make predictions based on data summaries or statistical analyses.,144.0,draw conclusions or make predictions based on data summaries or statistical analyses.,,,
"drive taxicabs, limousines, company cars, or privately owned vehicles to transport passengers.",21.0,"drive taxicabs, limousines, company cars, or privately owned vehicles to transport passengers.",,,
edit and submit protocols and other required research documentation.,33.0,edit and submit protocols and other required research documentation.,19-4061.00,12958.0,Social Science Research Assistants
"edit broadcast material electronically, using computers.",22.0,"edit broadcast material electronically, using computers.",27-4012.00,4022.0,Broadcast Technicians
"edit graphics and photos, using pixel or bitmap editing, airbrushing, masking, or image retouching.",100.0,"edit graphics and photos, using pixel or bitmap editing, airbrushing, masking, or image retouching.",43-9031.00,2822.0,Desktop Publishers
"edit instructional materials, such as books, simulation exercises, lesson plans, instructor guides, and tests.",364.0,"edit instructional materials, such as books, simulation exercises, lesson plans, instructor guides, and tests.",25-9031.00,22447.0,Instructional Coordinators
edit manuscripts for professional journals.,48.0,edit manuscripts for professional journals.,25-1082.00,20090.0,"Library Science Teachers, Postsecondary"
edit news material to ensure that it fits within available time or space.,110.0,edit news material to ensure that it fits within available time or space.,,,
edit or assist in editing videos for broadcast.,63.0,edit or assist in editing videos for broadcast.,,,
"edit or rewrite existing copy as necessary, and submit copy for approval by supervisor.",323.0,"edit or rewrite existing copy as necessary, and submit copy for approval by supervisor.",,,
"edit video for broadcast productions, including non-linear editing.",89.0,"edit video for broadcast productions, including non-linear editing.",27-4031.00,18663.0,"Camera Operators, Television, Video, and Film"
edit videotapes by erasing and removing portions of programs and adding video or sound as required.,30.0,edit videotapes by erasing and removing portions of programs and adding video or sound as required.,27-4011.00,3992.0,Audio and Video Technicians
"edit, standardize, or make changes to material prepared by other writers or establishment personnel.",1748.0,"edit, standardize, or make changes to material prepared by other writers or establishment personnel.",27-3042.00,3968.0,Technical Writers
educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energy efficient appliances.,24.0,educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energy efficient appliances.,,,
"educate or advise clients on animal health care, nutrition, or behavior problems.",40.0,"educate or advise clients on animal health care, nutrition, or behavior problems.",31-9096.00,4323.0,Veterinary Assistants and Laboratory Animal Caretakers
"educate patients about diagnoses, prognoses, or treatments.",74.0,"educate patients about diagnoses, prognoses, or treatments.",29-1229.01,17069.0,Allergists and Immunologists
educate patients about health care management.,33.0,educate patients about health care management.,29-1299.01,18412.0,Naturopathic Physicians
educate patients about maintenance and promotion of healthy vision.,15.0,educate patients about maintenance and promotion of healthy vision.,29-1241.00,17163.0,"Ophthalmologists, Except Pediatric"
"educate patients about self-management of acute or chronic illnesses, tailoring instructions to patients' individual circumstances.",31.0,"educate patients about self-management of acute or chronic illnesses, tailoring instructions to patients' individual circumstances.",29-1171.00,18378.0,Nurse Practitioners
"educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.",92.0,"educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.",29-1141.02,17327.0,Advanced Practice Psychiatric Nurses
"electronically sort and compile text and numerical data, retrieving, updating, and merging documents as required.",197.0,"electronically sort and compile text and numerical data, retrieving, updating, and merging documents as required.",43-9022.00,799.0,Word Processors and Typists
emphasize product features based on analyses of customers' needs and on technical knowledge of product capabilities and limitations.,32.0,emphasize product features based on analyses of customers' needs and on technical knowledge of product capabilities and limitations.,,,
employ financial models to develop solutions to financial problems or to assess the financial or capital impact of transactions.,33.0,employ financial models to develop solutions to financial problems or to assess the financial or capital impact of transactions.,13-2051.00,21590.0,Financial and Investment Analysts
"encourage clients to express their feelings and discuss what is happening in their lives, helping them to develop insight into themselves or their relationships.",236.0,"encourage clients to express their feelings and discuss what is happening in their lives, helping them to develop insight into themselves or their relationships.",21-1014.00,1592.0,Mental Health Counselors
encourage individuals and family members to develop and use skills and strategies for confronting their problems in a constructive manner.,261.0,encourage individuals and family members to develop and use skills and strategies for confronting their problems in a constructive manner.,21-1013.00,9186.0,Marriage and Family Therapists
encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers.,24.0,encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers.,15-1212.00,5321.0,Information Security Analysts
"engineer, install, maintain, or repair security systems, programmable logic controls, or other security-related electronic systems.",19.0,"engineer, install, maintain, or repair security systems, programmable logic controls, or other security-related electronic systems.",13-1199.07,21489.0,Security Management Specialists
ensure adherence to safety rules and practices.,35.0,ensure adherence to safety rules and practices.,,,
ensure payment for services by verifying benefits with the person's insurance provider or working out financing options.,25.0,ensure payment for services by verifying benefits with the person's insurance provider or working out financing options.,43-4111.00,2633.0,"Interviewers, Except Eligibility and Loan"
enter claims information into database systems.,297.0,enter claims information into database systems.,,,
