anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total
"create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs.",390.0,15-2051.01,16144.0,"Create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs.",Core,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,exact,100.0,4,6.0,68.18,3.7,95.24,4.A.2.b.2.I06.D04,Create databases to store electronic data.,4.A.2.b.2.I06,0.8159509202453988,0.47126436781609204,0.0026109660574412555,0.42130919220055735
"develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",390.0,11-2032.00,21229.0,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",exact,100.0,4,,,,,4.A.2.b.2.I12.D01,Develop promotional materials.,4.A.2.b.2.I12,,,,
"review data about material assets, net worth, liabilities, capital stock, surplus, income, and expenditures.",389.0,13-2011.00,21534.0,"Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.",,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",fuzzy,97.51243781094529,4,,,,,4.A.2.a.3.I03.D02,Examine financial records.,4.A.2.a.3.I03,0.656441717791411,0.6666666666666667,0.13577023498694518,0.5027855153203344
interview clients to determine what kinds of properties they are seeking.,388.0,41-9022.00,2442.0,Interview clients to determine what kinds of properties they are seeking.,Core,Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",exact,100.0,3,2.0,42.86,4.43,100.0,4.A.1.a.1.I14.D02,Gather customer or product information to determine customer needs.,4.A.1.a.1.I14,0.6395705521472393,0.640394088669951,0.1462140992167102,0.48955431754874656
analyze characteristics of animals to identify and classify them.,385.0,19-1023.00,1494.0,Analyze characteristics of animals to identify and classify them.,Core,Zoologists and Wildlife Biologists,"Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats.",exact,100.0,4,6.0,57.21,3.49,90.43,4.A.1.a.1.I16.D06,Examine characteristics or behavior of living organisms.,4.A.1.a.1.I16,0.7147239263803682,0.6600985221674879,0.43603133159268925,0.6866295264623957
consult with and assist computer operators or system analysts to define and resolve problems in running computer programs.,378.0,15-1251.00,1278.0,Consult with and assist computer operators or system analysts to define and resolve problems in running computer programs.,Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,3.5,81.63,4.A.4.a.2.I04.D03,Collaborate with others to resolve information technology issues.,4.A.4.a.2.I04,0.8726993865030674,0.41871921182266014,0.16971279373368145,0.5139275766016714
"prepare or edit organizational publications, such as employee newsletters or stockholders' reports, for internal or external audiences.",377.0,27-3031.00,20557.0,"Prepare or edit organizational publications, such as employee newsletters or stockholders' reports, for internal or external audiences.",Core,Public Relations Specialists,"Promote or create an intended public image for individuals, groups, or organizations. May write or select material for release to various communications media. May specialize in using social media.",exact,100.0,4,6.0,90.91,3.9,90.91,4.A.2.b.1.I07.D01; 4.A.3.b.6.I12.D05,Edit written materials.; Write informational material.,4.A.2.b.1.I07; 4.A.3.b.6.I12,0.7239263803680983,0.7471264367816093,0.08355091383812012,0.5396935933147634
"inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",377.0,11-2011.00,3226.0,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",fuzzy,96.2406015037594,4,6.0,60.02,4.07,87.26,4.A.2.a.3.I01.D01,Examine marketing materials to ensure compliance with policies or regulations.,4.A.2.a.3.I01,0.6334355828220858,0.58128078817734,0.21148825065274152,0.4965181058495823
"develop or configure document management system features, such as user interfaces, access profiles, and document workflow procedures.",376.0,15-1299.03,16240.0,"Develop or configure document management system features, such as user interfaces, access profiles, and document workflow procedures.",Core,Document Management Specialists,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",exact,100.0,4,6.0,60.0,3.76,85.0,4.A.2.b.4.I03.D01,Develop procedures for data management.,4.A.2.b.4.I03,0.602760736196319,0.5993431855500821,0.19843342036553524,0.48328690807799446
"collaborate with system architects, software architects, design analysts, and others to understand business or industry requirements.",375.0,15-1243.00,16113.0,"Collaborate with system architects, software architects, design analysts, and others to understand business or industry requirements.",Core,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",exact,100.0,4,6.0,76.19,4.48,100.0,4.A.4.a.2.I09.D07,Collaborate with others to determine design specifications or details.,4.A.4.a.2.I09,0.8190184049079755,0.5057471264367815,0.12532637075718014,0.5027855153203344
answer customers' questions about merchandise and advise customers on merchandise selection.,375.0,53-7065.00,23877.0,Answer customers' questions about merchandise and advise customers on merchandise selection.,Core,Stockers and Order Fillers,"Receive, store, and issue merchandise, materials, equipment, and other items from stockroom, warehouse, or storage yard to fill shelves, racks, tables, or customers' orders. May operate power equipment to fill orders. May mark prices on merchandise and set up sales displays.",exact,100.0,2,2.0,56.56,4.56,96.77,4.A.4.a.1.I01.D03,Discuss goods or services information with customers or patrons.,4.A.4.a.1.I01,0.3174846625766871,0.400656814449918,0.43603133159268925,0.39623955431754904
"provide technical and non-technical support and services to clients or other staff members regarding the use, operation, and maintenance of equipment.",372.0,41-9031.00,9687.0,"Provide technical and non-technical support and services to clients or other staff members regarding the use, operation, and maintenance of equipment.",Supplemental,Sales Engineers,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",exact,100.0,4,6.0,57.33,3.68,56.64,4.A.4.b.6.I02.D03,Advise customers on the use of products or services.,4.A.4.b.6.I02,0.6625766871165645,0.49096880131362886,0.1723237597911227,0.450557103064067
"perform administrative duties, such as preparing sales budgets and reports, keeping sales records, and filing expense account reports.",369.0,41-4012.00,8124.0,"Perform administrative duties, such as preparing sales budgets and reports, keeping sales records, and filing expense account reports.",Core,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,exact,100.0,4,2.0,47.98,4.04,86.63,4.A.3.b.6.I01.D02; 4.A.3.b.6.I10.D02,"Maintain records of sales or other business transactions.; Prepare financial documents, reports, or budgets.",4.A.3.b.6.I01; 4.A.3.b.6.I10,0.5460122699386504,0.5369458128078818,0.36553524804177545,0.5201949860724235
"edit instructional materials, such as books, simulation exercises, lesson plans, instructor guides, and tests.",364.0,25-9031.00,22447.0,"Edit instructional materials, such as books, simulation exercises, lesson plans, instructor guides, and tests.",,Instructional Coordinators,"Develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses. May train and coach teachers. Includes educational consultants and specialists, and instructional material directors.",exact,100.0,5,8.0,59.84,,,4.A.2.b.1.I07.D02,Edit documents.,4.A.2.b.1.I07,0.7254601226993866,0.7586206896551726,0.12010443864229764,0.5647632311977717
"develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",362.0,13-2011.00,21521.0,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",Core,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",exact,100.0,4,,,3.99,79.82,4.A.2.b.4.I03.D04,Develop business or financial information systems.,4.A.2.b.4.I03,0.656441717791411,0.6666666666666667,0.13577023498694518,0.5027855153203344
"implement security practices to preserve assets, minimize liabilities, or ensure customer privacy, using parallel servers, hardware redundancy, fail-safe technology, information encryption, or firewalls.",357.0,13-1199.06,15723.0,"Implement security practices to preserve assets, minimize liabilities, or ensure customer privacy, using parallel servers, hardware redundancy, fail-safe technology, information encryption, or firewalls.",Supplemental,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",exact,100.0,4,6.0,41.29,3.49,61.45,4.A.2.b.4.I03.D04,Develop business or financial information systems.,4.A.2.b.4.I03,0.5460122699386504,0.46633825944170776,0.23498694516971277,0.4206128133704737
"prepare tables, graphs, fact sheets, and written reports summarizing research results.",357.0,19-4061.00,12957.0,"Prepare tables, graphs, fact sheets, and written reports summarizing research results.",Core,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",exact,100.0,4,6.0,52.73,4.24,79.49,4.A.3.b.6.I03.D04,Prepare scientific or technical reports or presentations.,4.A.3.b.6.I03,0.6963190184049082,0.41215106732348117,0.12271540469973889,0.40598885793871875
"analyze and record test data to issue reports that use charts, graphs, or narratives.",356.0,29-2012.00,1905.0,"Analyze and record test data to issue reports that use charts, graphs, or narratives.",Supplemental,Medical and Clinical Laboratory Technicians,"Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist.",exact,100.0,3,6.0,45.93,4.24,55.4,4.A.2.a.4.I06.D03,Analyze test data or images to inform diagnosis or treatment.,4.A.2.a.4.I06,0.5475460122699387,0.497536945812808,0.6266318537859007,0.6434540389972147
"review records for completeness, accuracy, and compliance with regulations.",352.0,29-2072.00,22890.0,"Review records for completeness, accuracy, and compliance with regulations.",,Medical Records Specialists,"Compile, process, and maintain medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the healthcare system. Classify medical and healthcare concepts, including diagnosis, procedures, medical services, and equipment, into the healthcare industry's numerical coding system. Includes medical coders.",exact,100.0,3,,,,,4.A.1.a.2.I11.D11,Monitor medical facility activities to ensure adherence to standards or regulations.,4.A.1.a.2.I11,,,,
"test machines, components, materials, or products to determine characteristics such as performance, strength, or response to stress.",351.0,17-3027.00,22087.0,"Test machines, components, materials, or products to determine characteristics such as performance, strength, or response to stress.",Core,Mechanical Engineering Technologists and Technicians,"Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists.",exact,100.0,3,6.0,36.52,3.68,94.1,4.A.1.b.2.I03.D04,Test characteristics of materials or structures.,4.A.1.b.2.I03,0.6441717791411042,0.5435139573070608,0.6161879895561357,0.7012534818941507
examine merchandise to ensure that it is correctly priced and displayed and that it functions as advertised.,349.0,41-1011.00,671.0,Examine merchandise to ensure that it is correctly priced and displayed and that it functions as advertised.,Core,First-Line Supervisors of Retail Sales Workers,"Directly supervise and coordinate activities of retail sales workers in an establishment or department. Duties may include management functions, such as purchasing, budgeting, accounting, and personnel work, in addition to supervisory duties.",exact,100.0,2,2.0,51.67,4.38,89.43,4.A.1.b.2.I10.D07,Examine condition of property or products.,4.A.1.b.2.I10,0.40797546012269936,0.6617405582922826,0.32375979112271536,0.48816155988857945
"provide occupational, educational, and other information to individuals so that they can make educational and vocational plans.",349.0,19-3033.00,22183.0,"Provide occupational, educational, or other information to individuals so that they can make educational or vocational plans.",Core,Clinical and Counseling Psychologists,"Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients.",fuzzy,95.9349593495935,5,12.0,48.0,3.16,100.0,4.A.4.b.6.I10.D06,Counsel clients on mental health or personal achievement.,4.A.4.b.6.I10,0.726993865030675,0.6748768472906405,0.06788511749347259,0.502089136490251
listen to and resolve customers' complaints regarding products or services.,348.0,53-3031.00,3155.0,Listen to and resolve customers' complaints regarding products or services.,Core,Driver/Sales Workers,"Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery.",exact,100.0,2,2.0,64.02,3.99,89.88,4.A.4.a.7.I03.D04,Resolve issues affecting transportation operations.,4.A.4.a.7.I03,0.3711656441717791,0.2627257799671593,0.3968668407310705,0.34122562674094714
"demonstrate database technical functionality, such as performance, security and reliability.",348.0,15-1243.00,16111.0,"Demonstrate database technical functionality, such as performance, security and reliability.",Core,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",exact,100.0,4,6.0,76.19,3.76,100.0,4.A.2.a.1.I07.D06,Assess database performance.,4.A.2.a.1.I07,0.8190184049079755,0.5057471264367815,0.12532637075718014,0.5027855153203344
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,348.0,13-2052.00,12904.0,Analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,Core,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",exact,100.0,4,6.0,57.69,4.62,100.0,4.A.2.a.1.I09.D02,Assess financial status of clients.,4.A.2.a.1.I09,0.7500000000000001,0.6748768472906405,0.0,0.47632311977715897
"prepare project status reports by collecting, analyzing, and summarizing information and trends.",345.0,15-1299.09,16168.0,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",Core,Information Technology Project Managers,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",exact,100.0,4,6.0,38.1,4.0,100.0,4.A.2.a.4.I04.D02; 4.A.3.b.6.I03.D05,Analyze data to identify trends or relationships among variables.; Prepare analytical reports.,4.A.2.a.4.I04; 4.A.3.b.6.I03,0.7254601226993866,0.8489326765188837,0.22454308093994774,0.6587743732590532
develop specialized computer software routines to customize and integrate image analysis.,344.0,19-4099.03,16984.0,Develop specialized computer software routines to customize and integrate image analysis.,Supplemental,Remote Sensing Technicians,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.",exact,100.0,4,6.0,62.04,3.13,52.26,4.A.2.b.2.I02.D06,Develop software or applications for scientific or technical use.,4.A.2.b.2.I02,0.687116564417178,0.47126436781609204,0.597911227154047,0.6803621169916436
optimize shopping cart experience or web site conversion rates against key performance indicators (kpis).,340.0,13-1161.01,20330.0,Optimize shopping cart experience or Web site conversion rates against Key Performance Indicators (KPIs).,Core,Search Marketing Strategists,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",exact,100.0,4,6.0,47.83,3.86,95.65,4.A.2.b.2.I02.D08,Design websites or web applications.,4.A.2.b.2.I02,0.8941717791411047,0.568144499178982,0.13838120104438642,0.5703342618384404
"proofread, edit, and revise translated materials.",340.0,27-3091.00,9329.0,"Proofread, edit, and revise translated materials.",Supplemental,Interpreters and Translators,"Interpret oral or sign language, or translate written text from one language into another.",exact,100.0,4,6.0,54.72,3.93,63.64,4.A.2.b.1.I07.D01,Edit written materials.,4.A.2.b.1.I07,0.5613496932515337,0.568144499178982,0.2010443864229765,0.45264623955431776
write reports on research findings and implications to contribute to general knowledge and to suggest potential changes in organizational functioning.,338.0,19-3032.00,7563.0,Write reports on research findings and implications to contribute to general knowledge or to suggest potential changes in organizational functioning.,Core,Industrial-Organizational Psychologists,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.",fuzzy,98.31649831649833,5,8.0,57.69,3.62,100.0,4.A.3.b.6.I03.D04,Prepare scientific or technical reports or presentations.,4.A.3.b.6.I03,0.776073619631902,0.7865353037766832,0.052219321148825056,0.5633704735376046
offer advice on the purchase or sale of particular securities.,337.0,41-3031.00,23210.0,Offer advice on the purchase or sale of particular securities.,Core,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",exact,100.0,4,6.0,55.3,4.05,77.85,4.A.4.a.1.I04.D03,Explain financial information to customers.,4.A.4.a.1.I04,0.5966257668711658,0.5484400656814452,0.1279373368146214,0.42130919220055735
develop or document style guidelines for web site content.,336.0,15-1299.01,14759.0,Develop or document style guidelines for Web site content.,Core,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",exact,100.0,4,6.0,55.0,3.75,100.0,4.A.2.b.2.I07.D03; 4.A.3.b.6.I09.D05,Develop specifications or procedures for website development or maintenance.; Document design or development procedures.,4.A.2.b.2.I07; 4.A.3.b.6.I09,0.7546012269938651,0.5829228243021347,0.237597911227154,0.5661559888579388
"prepare, administer, and grade tests and assignments to evaluate students' progress.",335.0,25-2021.00,6544.0,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",Core,"Elementary School Teachers, Except Special Education",Teach academic and social skills to students at the elementary school level.,exact,100.0,4,6.0,78.17,4.3,100.0,4.A.2.a.1.I03.D02; 4.A.2.a.1.I03.D03; 4.A.2.a.1.I03.D04,Administer tests to assess educational needs or progress.; Evaluate student work.; Prepare tests.,4.A.2.a.1.I03,0.5782208588957055,0.6486042692939246,0.08877284595300257,0.43454038997214495
"record information, such as the number of products tested, meter readings, or dates and times of product production.",331.0,51-9198.00,12702.0,"Record information, such as the number of products tested, meter readings, or dates and times of product production.",Supplemental,Helpers--Production Workers,"Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment.",exact,100.0,2,2.0,49.3,3.75,54.1,4.A.3.b.6.I08.D03,Record operational or production data.,4.A.3.b.6.I08,0.2852760736196319,0.3021346469622332,0.7676240208877284,0.5167130919220057
record test data and document fabrication techniques on reports.,329.0,49-9061.00,8447.0,Record test data and document fabrication techniques on reports.,Supplemental,Camera and Photographic Equipment Repairers,"Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment.",exact,100.0,3,2.0,32.31,3.34,55.05,4.A.3.b.6.I09.D06,Document test results.,4.A.3.b.6.I09,0.4539877300613498,0.24630541871921172,0.3681462140992167,0.3565459610027856
"prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",328.0,15-1251.00,1276.0,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,3.58,86.57,4.A.2.b.2.I18.D13; 4.A.2.b.2.I21.D02,Develop diagrams or flow charts of system operation.; Develop models of information or communications systems.,4.A.2.b.2.I18; 4.A.2.b.2.I21,0.8726993865030674,0.41871921182266014,0.16971279373368145,0.5139275766016714
"plan, coordinate, and implement network security measures to protect data, software, and hardware.",326.0,15-1244.00,1319.0,"Plan, coordinate, and implement network security measures to protect data, software, and hardware.",Core,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",exact,100.0,4,6.0,52.37,3.74,86.23,4.A.2.b.4.I03.D09; 4.A.3.b.1.I02.D01,Develop computer or information security policies or procedures.; Implement security measures for computer or information systems.,4.A.2.b.4.I03; 4.A.3.b.1.I02,0.6042944785276072,0.24466338259441717,0.5456919060052219,0.5188022284122564
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",326.0,13-1081.01,15876.0,"Analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",Core,Logistics Engineers,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",exact,100.0,4,6.0,75.0,3.84,100.0,4.A.2.a.4.I07.D07,Analyze logistics processes.,4.A.2.a.4.I07,0.7806748466257669,0.5993431855500821,0.22454308093994774,0.5779944289693594
collaborate with search engine shopping specialists to place marketing content in desired online locations.,325.0,13-1199.06,15713.0,Collaborate with search engine shopping specialists to place marketing content in desired online locations.,Core,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",exact,100.0,4,6.0,41.29,3.82,76.93,4.A.4.a.6.I03.D04,"Market products, services, or events.",4.A.4.a.6.I03,0.5460122699386504,0.46633825944170776,0.23498694516971277,0.4206128133704737
"conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors.",323.0,43-6011.00,2780.0,"Conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors.",Core,Executive Secretaries and Executive Administrative Assistants,"Provide high-level administrative support by conducting research, preparing statistical reports, and handling information requests, as well as performing routine administrative functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings. May also train and supervise lower-level clerical staff.",exact,100.0,3,5.0,33.77,3.88,71.89,4.A.2.a.2.I03.D03; 4.A.3.b.6.I03.D02,Compile data or documentation.; Prepare research or technical reports.,4.A.2.a.2.I03; 4.A.3.b.6.I03,0.5168711656441718,0.5697865353037768,0.24020887728459528,0.4540389972144849
"maintain networks by performing activities such as file addition, deletion, or backup.",322.0,15-1241.00,18977.0,"Maintain networks by performing activities such as file addition, deletion, or backup.",Core,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",exact,100.0,4,6.0,55.0,4.16,100.0,4.A.3.b.4.I04.D02,Maintain computer networks to enhance performance and user access.,4.A.3.b.4.I04,0.6395705521472393,0.43678160919540227,0.4073107049608355,0.5424791086350976
verify accuracy of billing data and revise any errors.,321.0,43-3021.00,23238.0,Verify accuracy of billing data and revise any errors.,Core,Billing and Posting Clerks,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",exact,100.0,3,4.0,51.49,4.86,89.86,4.A.2.a.2.I01.D09,Verify accuracy of financial or transactional data.,4.A.2.a.2.I01,0.38957055214723935,0.19211822660098524,0.1540469973890339,0.19011142061281344
write and record orders for merchandise or enter orders into computers.,317.0,41-9091.00,13232.0,Write and record orders for merchandise or enter orders into computers.,Core,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.,exact,100.0,1,1.0,56.52,4.32,91.67,4.A.4.c.1.I03.D10,Take product orders from customers.,4.A.4.c.1.I03,0.24233128834355824,0.6896551724137933,0.09921671018276759,0.3050139275766018
greet visitors or callers and handle their inquiries or direct them to the appropriate persons according to their needs.,317.0,43-6014.00,2791.0,Greet visitors or callers and handle their inquiries or direct them to the appropriate persons according to their needs.,Core,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers.",exact,100.0,2,2.0,49.9,4.32,90.4,4.A.4.a.3.I03.D04; 4.A.4.a.5.I01.D01; 4.A.4.a.5.I10.D02,"Discuss account status or activity with customers or patrons.; Greet customers, patrons, or visitors.; Refer customers to appropriate personnel.",4.A.4.a.3.I03; 4.A.4.a.5.I01; 4.A.4.a.5.I10,0.4003067484662577,0.33169129720853857,0.27676240208877284,0.3196378830083567
"select plays, scripts, books, or ideas to be produced.",315.0,27-2012.00,22543.0,"Select plays, scripts, books, news content, or ideas to be produced.",,Producers and Directors,"Produce or direct stage, television, radio, video, or film productions for entertainment, information, or instruction. Responsible for creative decisions, such as interpretation of script, choice of actors or guests, set design, sound, special effects, and choreography.",fuzzy,88.49557522123894,4,6.0,56.67,,,4.A.2.b.2.I22.D02,Determine presentation subjects or content.,4.A.2.b.2.I22,0.7438650306748467,0.6288998357963875,0.41775456919060056,0.6768802228412257
"receive charge slips or credit applications by mail, or receive information from salespeople or merchants by telephone.",314.0,43-4041.00,23303.0,"Receive charge slips or credit applications by mail, or receive information from salespeople or merchants by telephone.",Supplemental,"Credit Authorizers, Checkers, and Clerks","Authorize credit charges against customers' accounts. Investigate history and credit standing of individuals or business establishments applying for credit. May interview applicants to obtain personal and financial data, determine credit worthiness, process applications, and notify customers of acceptance or rejection of credit.",exact,100.0,2,,,3.94,59.82,4.A.1.a.1.I14.D03,Obtain personal or financial information about customers or applicants.,4.A.1.a.1.I14,0.4263803680981595,0.49917898193760274,0.049608355091383796,0.2813370473537606
"prepare reports, manuscripts, and meeting presentations.",314.0,19-1029.02,23905.0,"Prepare or review reports, manuscripts, or meeting presentations.",Core,Molecular and Cellular Biologists,Research and study cellular molecules and organelles to understand cell function and organization.,fuzzy,86.95652173913044,5,6.0,34.62,4.23,100.0,4.A.1.a.1.I02.D07; 4.A.2.a.3.I01.D08; 4.A.3.b.6.I03.D04,"Prepare scientific or technical reports or presentations.; Proofread documents, records, or other files to ensure accuracy.; Read documents to gather technical information.",4.A.1.a.1.I02; 4.A.2.a.3.I01; 4.A.3.b.6.I03,0.8604294478527607,0.6009852216748768,0.5013054830287206,0.7625348189415043
"map data between source systems, data warehouses, and data marts.",313.0,15-1243.01,16124.0,"Map data between source systems, data warehouses, and data marts.",Core,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",exact,100.0,4,6.0,78.26,4.22,100.0,4.A.2.b.2.I18.D13,Develop diagrams or flow charts of system operation.,4.A.2.b.2.I18,0.8174846625766872,0.4105090311986864,0.11488250652741512,0.45612813370473565
"identify relationships and trends in data, as well as any factors that could affect the results of research.",313.0,15-2041.00,8955.0,"Identify relationships and trends in data, as well as any factors that could affect the results of research.",Core,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",exact,100.0,5,8.0,61.9,4.33,100.0,4.A.2.a.4.I04.D02,Analyze data to identify trends or relationships among variables.,4.A.2.a.4.I04,0.8849693251533742,0.48440065681445005,0.09399477806788509,0.5069637883008357
