soc_code,occ_title,employment,wage_annual_mean,wage_annual_median,wage_hourly_mean,year
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",168180,61670.0,59960.0,29.65,2022
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",233590,62090.0,59270.0,29.85,2022
49-2091,Avionics Technicians,20200,74730.0,75450.0,35.93,2022
49-2092,"Electric Motor, Power Tool, and Related Repairers",15390,51500.0,48260.0,24.76,2022
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",8530,71740.0,73630.0,34.49,2022
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",51650,66650.0,64030.0,32.05,2022
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",25440,88770.0,93720.0,42.68,2022
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",9450,45720.0,41600.0,21.98,2022
49-2097,Audiovisual Equipment Installers and Repairers,22200,48450.0,44960.0,23.29,2022
49-2098,Security and Fire Alarm Systems Installers,80720,54280.0,50130.0,26.1,2022
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",1645580,52750.0,48630.0,25.36,2022
49-3010,Aircraft Mechanics and Service Technicians,134070,72640.0,70010.0,34.92,2022
49-3011,Aircraft Mechanics and Service Technicians,134070,72640.0,70010.0,34.92,2022
49-3020,Automotive Technicians and Repairers,820200,50170.0,47040.0,24.12,2022
49-3021,Automotive Body and Related Repairers,138760,53220.0,47670.0,25.59,2022
49-3022,Automotive Glass Installers and Repairers,17370,43900.0,43700.0,21.11,2022
49-3023,Automotive Service Technicians and Mechanics,664070,49690.0,46970.0,23.89,2022
49-3030,Bus and Truck Mechanics and Diesel Engine Specialists,271720,56140.0,54360.0,26.99,2022
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,271720,56140.0,54360.0,26.99,2022
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,213460,58190.0,58350.0,27.98,2022
49-3041,Farm Equipment Mechanics and Service Technicians,35280,49930.0,48010.0,24.0,2022
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",158350,59560.0,59440.0,28.64,2022
49-3043,Rail Car Repairers,19830,61960.0,62510.0,29.79,2022
49-3050,Small Engine Mechanics,75190,45560.0,44080.0,21.9,2022
49-3051,Motorboat Mechanics and Service Technicians,24920,50280.0,48280.0,24.17,2022
49-3052,Motorcycle Mechanics,14700,44740.0,43370.0,21.51,2022
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,35570,42590.0,40030.0,20.48,2022
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",130940,36780.0,35250.0,17.68,2022
49-3091,Bicycle Repairers,13760,36770.0,36250.0,17.68,2022
49-3092,Recreational Vehicle Service Technicians,17190,47320.0,45030.0,22.75,2022
49-3093,Tire Repairers and Changers,99980,34970.0,34240.0,16.81,2022
49-9000,"Other Installation, Maintenance, and Repair Occupations",3122550,52970.0,48360.0,25.46,2022
49-9010,Control and Valve Installers and Repairers,73740,61620.0,55790.0,29.63,2022
49-9011,Mechanical Door Repairers,27330,48400.0,47010.0,23.27,2022
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",46410,69410.0,64810.0,33.37,2022
49-9020,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",374770,57460.0,51390.0,27.63,2022
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",374770,57460.0,51390.0,27.63,2022
49-9030,Home Appliance Repairers,29370,47500.0,46000.0,22.84,2022
49-9031,Home Appliance Repairers,29370,47500.0,46000.0,22.84,2022
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",490410,60390.0,59470.0,29.03,2022
49-9041,Industrial Machinery Mechanics,386120,60990.0,59830.0,29.32,2022
49-9043,"Maintenance Workers, Machinery",62770,55910.0,53310.0,26.88,2022
49-9044,Millwrights,40930,61750.0,60930.0,29.69,2022
49-9045,"Refractory Materials Repairers, Except Brickmasons",580,51010.0,50550.0,24.52,2022
49-9050,Line Installers and Repairers,227190,74010.0,75230.0,35.58,2022
49-9051,Electrical Power-Line Installers and Repairers,119510,82770.0,82340.0,39.79,2022
49-9052,Telecommunications Line Installers and Repairers,107670,64280.0,60580.0,30.9,2022
49-9060,Precision Instrument and Equipment Repairers,79970,59300.0,56070.0,28.51,2022
49-9061,Camera and Photographic Equipment Repairers,2120,46870.0,44060.0,22.53,2022
49-9062,Medical Equipment Repairers,58830,60950.0,57860.0,29.3,2022
49-9063,Musical Instrument Repairers and Tuners,6330,43120.0,38150.0,20.73,2022
49-9064,Watch and Clock Repairers,1880,49580.0,48370.0,23.84,2022
49-9069,"Precision Instrument and Equipment Repairers, All Other",10810,63970.0,61690.0,30.76,2022
49-9070,"Maintenance and Repair Workers, General",1485990,47130.0,44980.0,22.66,2022
49-9071,"Maintenance and Repair Workers, General",1485990,47130.0,44980.0,22.66,2022
49-9080,Wind Turbine Service Technicians,9830,59880.0,57320.0,28.79,2022
49-9081,Wind Turbine Service Technicians,9830,59880.0,57320.0,28.79,2022
49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",351290,45910.0,40770.0,22.07,2022
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",35790,42500.0,39690.0,20.43,2022
49-9092,Commercial Divers,3860,85630.0,68300.0,41.17,2022
49-9094,Locksmiths and Safe Repairers,15240,50210.0,47400.0,24.14,2022
49-9095,Manufactured Building and Mobile Home Installers,3630,38020.0,36820.0,18.28,2022
49-9096,Riggers,19260,58700.0,54680.0,28.22,2022
49-9097,Signal and Track Switch Repairers,6880,77370.0,81300.0,37.2,2022
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",93650,36750.0,35100.0,17.67,2022
49-9099,"Installation, Maintenance, and Repair Workers, All Other",172980,47800.0,44500.0,22.98,2022
51-0000,Production Occupations,8738980,45370.0,39910.0,21.81,2022
51-1000,Supervisors of Production Workers,659930,69100.0,63510.0,33.22,2022
51-1010,First-Line Supervisors of Production and Operating Workers,659930,69100.0,63510.0,33.22,2022
51-1011,First-Line Supervisors of Production and Operating Workers,659930,69100.0,63510.0,33.22,2022
51-2000,Assemblers and Fabricators,1903910,41420.0,37930.0,19.92,2022
51-2010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",32140,60110.0,58430.0,28.9,2022
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",32140,60110.0,58430.0,28.9,2022
51-2020,"Electrical, Electronics, and Electromechanical Assemblers",286380,41890.0,38640.0,20.14,2022
51-2021,"Coil Winders, Tapers, and Finishers",10860,44850.0,43160.0,21.56,2022
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",275510,41770.0,38580.0,20.08,2022
51-2030,Engine and Other Machine Assemblers,50120,51980.0,50850.0,24.99,2022
51-2031,Engine and Other Machine Assemblers,50120,51980.0,50850.0,24.99,2022
51-2040,Structural Metal Fabricators and Fitters,58870,48870.0,47200.0,23.5,2022
51-2041,Structural Metal Fabricators and Fitters,58870,48870.0,47200.0,23.5,2022
51-2050,Fiberglass Laminators and Fabricators,21910,41280.0,38110.0,19.85,2022
51-2051,Fiberglass Laminators and Fabricators,21910,41280.0,38110.0,19.85,2022
51-2060,Timing Device Assemblers and Adjusters,370,46480.0,42290.0,22.35,2022
51-2061,Timing Device Assemblers and Adjusters,370,46480.0,42290.0,22.35,2022
51-2090,Miscellaneous Assemblers and Fabricators,1454130,40250.0,37280.0,19.35,2022
51-2090,Miscellaneous Assemblers and Fabricators,1454130,40250.0,37280.0,19.35,2022
51-3000,Food Processing Workers,807880,36300.0,35320.0,17.45,2022
51-3010,Bakers,205300,34140.0,32780.0,16.41,2022
51-3011,Bakers,205300,34140.0,32780.0,16.41,2022
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",341520,36230.0,35870.0,17.42,2022
51-3021,Butchers and Meat Cutters,129400,38200.0,36930.0,18.36,2022
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",133460,35090.0,35070.0,16.87,2022
51-3023,Slaughterers and Meat Packers,78660,34920.0,35240.0,16.79,2022
51-3090,Miscellaneous Food Processing Workers,261060,38090.0,36190.0,18.31,2022
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",20010,39770.0,37790.0,19.12,2022
51-3092,Food Batchmakers,166520,38710.0,36580.0,18.61,2022
51-3093,Food Cooking Machine Operators and Tenders,26740,37760.0,36700.0,18.15,2022
51-3099,"Food Processing Workers, All Other",47790,35430.0,34710.0,17.04,2022
51-4000,Metal Workers and Plastic Workers,1644250,47020.0,45080.0,22.61,2022
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",102040,44580.0,42540.0,21.43,2022
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",63490,42580.0,39970.0,20.47,2022
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",10650,46940.0,46540.0,22.57,2022
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",27900,48250.0,46310.0,23.2,2022
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",297630,42990.0,39880.0,20.67,2022
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",182460,42240.0,39340.0,20.31,2022
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",6470,45350.0,42450.0,21.81,2022
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",73800,42050.0,38910.0,20.21,2022
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",19410,47820.0,47020.0,22.99,2022
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",15480,49200.0,46870.0,23.65,2022
51-4040,Machinists,316860,51430.0,48510.0,24.72,2022
51-4041,Machinists,316860,51430.0,48510.0,24.72,2022
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",25390,51810.0,49110.0,24.91,2022
51-4051,Metal-Refining Furnace Operators and Tenders,19320,53450.0,50280.0,25.7,2022
51-4052,"Pourers and Casters, Metal",6070,46600.0,45070.0,22.41,2022
51-4060,"Model Makers and Patternmakers, Metal and Plastic",5580,58320.0,56170.0,28.04,2022
51-4061,"Model Makers, Metal and Plastic",3350,60220.0,57620.0,28.95,2022
51-4062,"Patternmakers, Metal and Plastic",2230,55470.0,54970.0,26.67,2022
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",177150,39830.0,37160.0,19.15,2022
51-4071,Foundry Mold and Coremakers,11330,42000.0,40120.0,20.19,2022
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",165820,39690.0,37050.0,19.08,2022
51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",137060,42040.0,39210.0,20.21,2022
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",137060,42040.0,39210.0,20.21,2022
51-4110,Tool and Die Makers,61730,59390.0,59800.0,28.55,2022
51-4111,Tool and Die Makers,61730,59390.0,59800.0,28.55,2022
51-4120,"Welding, Soldering, and Brazing Workers",439930,50160.0,47430.0,24.11,2022
51-4121,"Welders, Cutters, Solderers, and Brazers",408990,50460.0,47540.0,24.26,2022
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",30940,46110.0,44920.0,22.17,2022
51-4190,Miscellaneous Metal Workers and Plastic Workers,80870,43110.0,39520.0,20.73,2022
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",15600,43700.0,40900.0,21.01,2022
51-4192,"Layout Workers, Metal and Plastic",6890,56170.0,58260.0,27.0,2022
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",32050,40290.0,37900.0,19.37,2022
51-4194,"Tool Grinders, Filers, and Sharpeners",5320,46040.0,41940.0,22.14,2022
51-4199,"Metal Workers and Plastic Workers, All Other",21030,41960.0,38340.0,20.18,2022
51-5100,Printing Workers,214280,42280.0,38890.0,20.33,2022
51-5110,Printing Workers,214280,42280.0,38890.0,20.33,2022
51-5111,Prepress Technicians and Workers,25250,44880.0,43560.0,21.58,2022
51-5112,Printing Press Operators,150010,42730.0,39350.0,20.55,2022
51-5113,Print Binding and Finishing Workers,39030,38850.0,36970.0,18.68,2022
51-6000,"Textile, Apparel, and Furnishings Workers",468590,33170.0,31200.0,15.95,2022
51-6010,Laundry and Dry-Cleaning Workers,175730,29660.0,29060.0,14.26,2022
51-6011,Laundry and Dry-Cleaning Workers,175730,29660.0,29060.0,14.26,2022
51-6020,"Pressers, Textile, Garment, and Related Materials",28570,30650.0,29690.0,14.73,2022
51-6021,"Pressers, Textile, Garment, and Related Materials",28570,30650.0,29690.0,14.73,2022
51-6030,Sewing Machine Operators,116750,33130.0,31740.0,15.93,2022
51-6031,Sewing Machine Operators,116750,33130.0,31740.0,15.93,2022
51-6040,Shoe and Leather Workers,11820,34490.0,32790.0,16.58,2022
51-6041,Shoe and Leather Workers and Repairers,8860,34600.0,32460.0,16.64,2022
51-6042,Shoe Machine Operators and Tenders,2960,34160.0,33060.0,16.42,2022
51-6050,"Tailors, Dressmakers, and Sewers",20320,36590.0,33850.0,17.59,2022
51-6051,"Sewers, Hand",3440,33440.0,31530.0,16.08,2022
51-6052,"Tailors, Dressmakers, and Custom Sewers",16870,37230.0,34280.0,17.9,2022
51-6060,"Textile Machine Setters, Operators, and Tenders",58070,34910.0,34170.0,16.79,2022
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,6640,33900.0,32680.0,16.3,2022
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",10700,34970.0,34420.0,16.81,2022
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",16900,35710.0,35750.0,17.17,2022
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",23830,34610.0,33720.0,16.64,2022
51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",57330,42030.0,38460.0,20.21,2022
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",14460,42770.0,39860.0,20.56,2022
51-6092,Fabric and Apparel Patternmakers,3070,66820.0,60320.0,32.13,2022
51-6093,Upholsterers,26990,41900.0,39600.0,20.14,2022
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",12810,35520.0,32640.0,17.08,2022
51-7000,Woodworkers,231230,39750.0,37520.0,19.11,2022
51-7010,Cabinetmakers and Bench Carpenters,95980,42120.0,38810.0,20.25,2022
51-7011,Cabinetmakers and Bench Carpenters,95980,42120.0,38810.0,20.25,2022
51-7020,Furniture Finishers,14990,39880.0,37960.0,19.17,2022
51-7021,Furniture Finishers,14990,39880.0,37960.0,19.17,2022
51-7030,"Model Makers and Patternmakers, Wood",1050,50580.0,46100.0,24.32,2022
51-7031,"Model Makers, Wood",720,52820.0,46940.0,25.39,2022
51-7032,"Patternmakers, Wood",330,45720.0,44290.0,21.98,2022
51-7040,"Woodworking Machine Setters, Operators, and Tenders",110080,37800.0,36580.0,18.17,2022
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",46400,37450.0,36270.0,18.0,2022
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",63680,38060.0,36830.0,18.3,2022
51-7090,Miscellaneous Woodworkers,9120,36870.0,35370.0,17.73,2022
51-7099,"Woodworkers, All Other",9120,36870.0,35370.0,17.73,2022
51-8000,Plant and System Operators,276970,70400.0,64990.0,33.85,2022
51-8010,"Power Plant Operators, Distributors, and Dispatchers",46420,94820.0,97570.0,45.59,2022
51-8011,Nuclear Power Reactor Operators,5450,117510.0,115870.0,56.5,2022
51-8012,Power Distributors and Dispatchers,9380,101360.0,101650.0,48.73,2022
51-8013,Power Plant Operators,31590,88960.0,93060.0,42.77,2022
51-8020,Stationary Engineers and Boiler Operators,31470,72570.0,67120.0,34.89,2022
51-8021,Stationary Engineers and Boiler Operators,31470,72570.0,67120.0,34.89,2022
51-8030,Water and Wastewater Treatment Plant and System Operators,119350,55690.0,51600.0,26.78,2022
51-8031,Water and Wastewater Treatment Plant and System Operators,119350,55690.0,51600.0,26.78,2022
51-8090,Miscellaneous Plant and System Operators,79730,77340.0,79210.0,37.18,2022
51-8091,Chemical Plant and System Operators,18710,79290.0,82670.0,38.12,2022
51-8092,Gas Plant Operators,14290,78430.0,79460.0,37.71,2022
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",31360,84140.0,85090.0,40.45,2022
51-8099,"Plant and System Operators, All Other",15370,60070.0,57470.0,28.88,2022
51-9000,Other Production Occupations,2531940,44260.0,39960.0,21.28,2022
51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",167840,52580.0,48260.0,25.28,2022
51-9011,Chemical Equipment Operators and Tenders,115370,54210.0,49330.0,26.06,2022
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",52470,48980.0,46250.0,23.55,2022
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",150410,44630.0,42120.0,21.46,2022
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",27320,45310.0,43290.0,21.79,2022
51-9022,"Grinding and Polishing Workers, Hand",14190,38770.0,36960.0,18.64,2022
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",108900,45220.0,43410.0,21.74,2022
51-9030,Cutting Workers,62350,41430.0,39410.0,19.92,2022
51-9031,"Cutters and Trimmers, Hand",8250,37830.0,36130.0,18.19,2022
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",54110,41980.0,39880.0,20.18,2022
51-9040,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",58740,41940.0,39480.0,20.17,2022
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",58740,41940.0,39480.0,20.17,2022
51-9050,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",15030,46180.0,44530.0,22.2,2022
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",15030,46180.0,44530.0,22.2,2022
51-9060,"Inspectors, Testers, Sorters, Samplers, and Weighers",579740,47290.0,43900.0,22.74,2022
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",579740,47290.0,43900.0,22.74,2022
51-9070,Jewelers and Precious Stone and Metal Workers,26280,50530.0,47140.0,24.29,2022
51-9071,Jewelers and Precious Stone and Metal Workers,26280,50530.0,47140.0,24.29,2022
51-9080,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,69220,46240.0,41180.0,22.23,2022
51-9081,Dental Laboratory Technicians,33330,49930.0,46050.0,24.01,2022
51-9082,Medical Appliance Technicians,15680,46240.0,42160.0,22.23,2022
51-9083,Ophthalmic Laboratory Technicians,20200,40140.0,36810.0,19.3,2022
51-9110,Packaging and Filling Machine Operators and Tenders,369330,39060.0,36750.0,18.78,2022
51-9111,Packaging and Filling Machine Operators and Tenders,369330,39060.0,36750.0,18.78,2022
51-9120,Painting Workers,164100,46100.0,43370.0,22.16,2022
51-9123,"Painting, Coating, and Decorating Workers",11990,41770.0,38270.0,20.08,2022
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",152120,46440.0,43960.0,22.33,2022
51-9140,Semiconductor Processing Technicians,23860,48370.0,44690.0,23.25,2022
51-9141,Semiconductor Processing Technicians,23860,48370.0,44690.0,23.25,2022
51-9150,Photographic Process Workers and Processing Machine Operators,5380,42750.0,36280.0,20.55,2022
51-9151,Photographic Process Workers and Processing Machine Operators,5380,42750.0,36280.0,20.55,2022
51-9160,Computer Numerically Controlled Tool Operators and Programmers,207480,50200.0,47810.0,24.13,2022
51-9161,Computer Numerically Controlled Tool Operators,179360,47940.0,46760.0,23.05,2022
51-9162,Computer Numerically Controlled Tool Programmers,28120,64580.0,60800.0,31.05,2022
51-9190,Miscellaneous Production Workers,632170,39640.0,36680.0,19.06,2022
51-9191,Adhesive Bonding Machine Operators and Tenders,11320,40100.0,38780.0,19.28,2022
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",13200,39130.0,37190.0,18.81,2022
51-9193,Cooling and Freezing Equipment Operators and Tenders,6420,44240.0,42890.0,21.27,2022
51-9194,Etchers and Engravers,8400,40950.0,37980.0,19.69,2022
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",39060,41680.0,39590.0,20.04,2022
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",92050,46390.0,45710.0,22.3,2022
51-9197,Tire Builders,18360,50600.0,51650.0,24.33,2022
51-9198,Helpers--Production Workers,190680,35740.0,34670.0,17.18,2022
51-9199,"Production Workers, All Other",252660,38860.0,35490.0,18.68,2022
53-0000,Transportation and Material Moving Occupations,13560460,43930.0,37940.0,21.12,2022
53-1000,Supervisors of Transportation and Material Moving Workers,599710,60850.0,57810.0,29.26,2022
53-1040,First-Line Supervisors of Transportation and Material Moving Workers,599710,60850.0,57810.0,29.26,2022
53-1041,Aircraft Cargo Handling Supervisors,7950,61150.0,53490.0,29.4,2022
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",591760,60850.0,57860.0,29.25,2022
53-2000,Air Transportation Workers,282820,131630.0,95010.0,,2022
53-2010,Aircraft Pilots and Flight Engineers,138330,189620.0,148900.0,,2022
53-2011,"Airline Pilots, Copilots, and Flight Engineers",89580,225740.0,211790.0,,2022
53-2012,Commercial Pilots,48750,123250.0,103910.0,,2022
53-2020,Air Traffic Controllers and Airfield Operations Specialists,36010,103460.0,94700.0,49.74,2022
53-2021,Air Traffic Controllers,21250,130840.0,132250.0,62.9,2022
53-2022,Airfield Operations Specialists,14760,64050.0,49600.0,30.79,2022
53-2030,Flight Attendants,108480,67020.0,63760.0,,2022
53-2031,Flight Attendants,108480,67020.0,63760.0,,2022
53-3000,Motor Vehicle Operators,4315740,47110.0,45460.0,22.65,2022
53-3010,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",9910,33570.0,30380.0,16.14,2022
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",9910,33570.0,30380.0,16.14,2022
53-3030,Driver/Sales Workers and Truck Drivers,3533530,48240.0,46300.0,23.19,2022
53-3031,Driver/Sales Workers,489510,35560.0,32690.0,17.1,2022
53-3032,Heavy and Tractor-Trailer Truck Drivers,1984180,53090.0,49920.0,25.52,2022
53-3033,Light Truck Drivers,1059840,45020.0,40410.0,21.65,2022
53-3050,Passenger Vehicle Drivers,722960,42420.0,39440.0,20.39,2022
53-3051,"Bus Drivers, School",366550,42400.0,41270.0,20.39,2022
53-3052,"Bus Drivers, Transit and Intercity",141530,53920.0,50890.0,25.92,2022
53-3053,Shuttle Drivers and Chauffeurs,201070,35000.0,32800.0,16.83,2022
53-3054,Taxi Drivers,13820,32710.0,30670.0,15.73,2022
53-3090,Miscellaneous Motor Vehicle Operators,49340,37650.0,33210.0,18.1,2022
53-3099,"Motor Vehicle Operators, All Other",49340,37650.0,33210.0,18.1,2022
53-4000,Rail Transportation Workers,105620,70040.0,68960.0,33.67,2022
53-4010,Locomotive Engineers and Operators,39120,72790.0,73770.0,35.0,2022
53-4011,Locomotive Engineers,36440,73850.0,74570.0,35.5,2022
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",2680,58430.0,56340.0,28.09,2022
53-4020,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",14210,64810.0,67540.0,31.16,2022
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",14210,64810.0,67540.0,31.16,2022
53-4030,Railroad Conductors and Yardmasters,40940,69190.0,68180.0,33.26,2022
53-4031,Railroad Conductors and Yardmasters,40940,69190.0,68180.0,33.26,2022
53-4040,Subway and Streetcar Operators,9120,75880.0,88260.0,36.48,2022
53-4041,Subway and Streetcar Operators,9120,75880.0,88260.0,36.48,2022
53-4090,Miscellaneous Rail Transportation Workers,2240,46780.0,42280.0,22.49,2022
53-4099,"Rail Transportation Workers, All Other",2240,46780.0,42280.0,22.49,2022
53-5000,Water Transportation Workers,75200,82200.0,66100.0,39.52,2022
53-5010,Sailors and Marine Oilers,28500,53350.0,47490.0,25.65,2022
53-5011,Sailors and Marine Oilers,28500,53350.0,47490.0,25.65,2022
53-5020,Ship and Boat Captains and Operators,38050,99540.0,87320.0,47.86,2022
53-5021,"Captains, Mates, and Pilots of Water Vessels",34940,104190.0,95210.0,50.09,2022
53-5022,Motorboat Operators,3110,47300.0,41430.0,22.74,2022
53-5030,Ship Engineers,8650,100980.0,87300.0,48.55,2022
53-5031,Ship Engineers,8650,100980.0,87300.0,48.55,2022
53-6000,Other Transportation Workers,284810,37750.0,32680.0,18.15,2022
53-6010,Bridge and Lock Tenders,3690,46910.0,47280.0,22.55,2022
53-6011,Bridge and Lock Tenders,3690,46910.0,47280.0,22.55,2022
53-6020,Parking Attendants,105290,31230.0,30570.0,15.01,2022
53-6021,Parking Attendants,105290,31230.0,30570.0,15.01,2022
53-6030,Transportation Service Attendants,119320,33500.0,31820.0,16.11,2022
53-6031,Automotive and Watercraft Service Attendants,99600,32340.0,30850.0,15.55,2022
53-6032,Aircraft Service Attendants,19720,39400.0,37050.0,18.94,2022
53-6040,Traffic Technicians,7310,54720.0,50050.0,26.31,2022
53-6041,Traffic Technicians,7310,54720.0,50050.0,26.31,2022
53-6050,Transportation Inspectors,24420,79770.0,79570.0,38.35,2022
53-6051,Transportation Inspectors,24420,79770.0,79570.0,38.35,2022
53-6060,Passenger Attendants,13200,36230.0,34630.0,17.42,2022
53-6061,Passenger Attendants,13200,36230.0,34630.0,17.42,2022
53-6090,Miscellaneous Transportation Workers,11590,40290.0,37430.0,19.37,2022
53-6099,"Transportation Workers, All Other",11590,40290.0,37430.0,19.37,2022
53-7000,Material Moving Workers,7896560,37270.0,35670.0,17.92,2022
53-7010,Conveyor Operators and Tenders,27780,40060.0,36890.0,19.26,2022
53-7011,Conveyor Operators and Tenders,27780,40060.0,36890.0,19.26,2022
53-7020,Crane and Tower Operators,45210,65220.0,61340.0,31.36,2022
53-7021,Crane and Tower Operators,45210,65220.0,61340.0,31.36,2022
53-7030,Dredge Operators,940,51770.0,47090.0,24.89,2022
53-7031,Dredge Operators,940,51770.0,47090.0,24.89,2022
53-7040,Hoist and Winch Operators,2440,69120.0,58950.0,33.23,2022
53-7041,Hoist and Winch Operators,2440,69120.0,58950.0,33.23,2022
53-7050,Industrial Truck and Tractor Operators,780890,43240.0,41230.0,20.79,2022
53-7051,Industrial Truck and Tractor Operators,780890,43240.0,41230.0,20.79,2022
53-7060,Laborers and Material Movers,6840530,36050.0,34880.0,17.33,2022
53-7061,Cleaners of Vehicles and Equipment,359530,32730.0,31000.0,15.74,2022
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2934050,37510.0,36110.0,18.03,2022
53-7063,Machine Feeders and Offbearers,51010,39100.0,38040.0,18.8,2022
53-7064,"Packers and Packagers, Hand",653870,33310.0,32920.0,16.02,2022
53-7065,Stockers and Order Fillers,2842060,35550.0,34220.0,17.09,2022
53-7070,Pumping Station Operators,29160,62620.0,60180.0,30.11,2022
53-7071,Gas Compressor and Gas Pumping Station Operators,3740,61500.0,59990.0,29.57,2022
53-7072,"Pump Operators, Except Wellhead Pumpers",10870,59150.0,55860.0,28.44,2022
53-7073,Wellhead Pumpers,14550,65510.0,63280.0,31.5,2022
53-7080,Refuse and Recyclable Material Collectors,132240,45560.0,43540.0,21.91,2022
53-7081,Refuse and Recyclable Material Collectors,132240,45560.0,43540.0,21.91,2022
