anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total,soc_6digit,OCC_CODE,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90
"recommend, select, and help locate or obtain merchandise based on customer needs and desires.",880.0,41-2031.00,700.0,"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.",Core,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers.",exact,100.0,2,2.0,63.45,4.68,98.94,4.A.4.b.6.I02.D04,Recommend products or services to customers.,4.A.4.b.6.I02,0.4064417177914111,0.4745484400656815,0.503916449086162,0.5041782729805014,41-2031,41-2031,Retail Salespersons,3800250.0,17.86,37150.0,16.62,34580.0,12.31,14.01,18.2,23.05,25600.0,29140.0,37850.0,47930.0
monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,877.0,11-2011.00,3233.0,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",exact,100.0,4,6.0,60.02,3.59,77.04,4.A.2.a.4.I07.D09,Analyze data to assess operational or project effectiveness.,4.A.2.a.4.I07,0.6334355828220858,0.58128078817734,0.2114882506527415,0.4965181058495823,11-2011,11-2011,Advertising and Promotions Managers,21100.0,71.76,149270.0,61.04,126960.0,30.29,41.34,85.85,,63000.0,85990.0,178570.0,
"develop ideas for creating dances, keeping notes and sketches to record influences.",877.0,27-2032.00,11036.0,"Develop ideas for creating dances, keeping notes and sketches to record influences.",Core,Choreographers,Create new dance routines. Rehearse performance of routines. May direct and stage presentations.,exact,100.0,3,2.0,33.33,3.9,100.0,4.A.2.b.2.I25.D03,Choreograph dances.,4.A.2.b.2.I25,0.5429447852760737,0.8653530377668308,0.1018276762402088,0.5174094707520893,27-2032,27-2032,Choreographers,3430.0,29.82,62020.0,26.73,55600.0,15.91,19.04,34.23,45.24,33080.0,39600.0,71190.0,94090.0
"prepare, manipulate, and manage extensive databases.",871.0,19-4061.00,12952.0,"Prepare, manipulate, and manage extensive databases.",Core,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",exact,100.0,4,6.0,52.73,3.91,70.2,4.A.2.b.2.I06.D02,Develop technical or scientific databases.,4.A.2.b.2.I06,0.6963190184049082,0.4121510673234811,0.1227154046997388,0.4059888579387187,19-4061,19-4061,Social Science Research Assistants,32940.0,30.56,63560.0,27.9,58040.0,17.5,22.21,35.13,48.38,36410.0,46190.0,73060.0,100620.0
monitor use of data files and regulate access to safeguard information in computer files.,859.0,15-1212.00,5319.0,Monitor use of data files and regulate access to safeguard information in computer files.,Core,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",exact,100.0,4,6.0,52.64,3.89,88.34,4.A.1.a.2.I10.D01,Monitor the security of digital information.,4.A.1.a.2.I10,0.6840490797546014,0.3973727422003285,0.227154046997389,0.4498607242339835,15-1212,15-1212,Information Security Analysts,179430.0,61.41,127730.0,60.05,124910.0,33.49,44.31,76.73,89.63,69660.0,92160.0,159600.0,186420.0
"organize information for publication and for other means of dissemination, such as use in cd-roms or internet sites.",858.0,19-3093.00,3728.0,"Organize information for publication and for other means of dissemination, such as via storage media or the Internet.",Core,Historians,"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.",fuzzy,85.96491228070175,5,8.0,23.88,3.57,90.93,4.A.3.b.6.I03.D04,Prepare scientific or technical reports or presentations.,4.A.3.b.6.I03,0.7776073619631902,0.4630541871921182,0.1775456919060052,0.4937325905292481,19-3093,19-3093,Historians,3140.0,37.73,78470.0,35.6,74050.0,18.57,26.54,46.31,61.78,38630.0,55190.0,96330.0,128500.0
study documentation or other information for new scientific or technical products.,855.0,41-4011.00,20614.0,Study documentation or other information for new scientific or technical products.,Core,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.",exact,100.0,4,6.0,39.48,3.35,74.94,4.A.2.b.3.I01.D22,Study product information to acquire professional knowledge.,4.A.2.b.3.I01,0.3052147239263803,0.4269293924466338,0.1174934725848563,0.2318941504178273,41-4011,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",293930.0,55.06,114520.0,48.11,100070.0,23.48,31.56,70.26,93.7,48840.0,65640.0,146150.0,194890.0
"design complex graphics and animation, using independent judgment, creativity, and computer equipment.",843.0,27-1014.00,6882.0,"Design complex graphics and animation, using independent judgment, creativity, and computer equipment.",Core,Special Effects Artists and Animators,"Create special effects or animations using film, video, computers, or other electronic tools and media for use in products, such as computer games, movies, music videos, and commercials.",exact,100.0,4,6.0,52.75,4.46,98.55,4.A.2.b.2.I18.D17,Create computer-generated graphics or animation.,4.A.2.b.2.I18,0.7791411042944786,0.6272577996715928,0.4882506527415143,0.7298050139275769,27-1014,27-1014,Special Effects Artists and Animators,21280.0,52.94,110110.0,47.98,99800.0,27.51,35.11,65.19,83.96,57220.0,73030.0,135600.0,174630.0
"compile, log, or record testing or operational data for review and further analysis.",840.0,19-4043.00,22264.0,"Compile, log, or record testing or operational data for review and further analysis.",Core,"Geological Technicians, Except Hydrologic Technicians","Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes.",exact,100.0,4,,,4.19,100.0,4.A.3.b.6.I08.D18,Record research or operational data.,4.A.3.b.6.I08,0.5153374233128835,0.3234811165845648,0.6370757180156658,0.5605849582172705,19-4043,19-4043,"Geological Technicians, Except Hydrologic Technicians",9710.0,27.99,58220.0,23.27,48390.0,15.78,18.85,31.0,44.33,32830.0,39200.0,64470.0,92210.0
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",840.0,25-1011.00,5681.0,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",Core,"Business Teachers, Postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",exact,100.0,5,11.0,72.77,4.37,70.7,4.A.2.b.3.I01.D10; 4.A.3.b.6.I16.D01,"Research topics in area of expertise.; Write articles, books or other original materials in area of expertise.",4.A.2.b.3.I01; 4.A.3.b.6.I16,0.682515337423313,0.5254515599343187,0.1827676240208877,0.4798050139275768,25-1011,25-1011,"Business Teachers, Postsecondary",81780.0,,113840.0,,97270.0,,,,,46460.0,63040.0,140360.0,210530.0
"interview job applicants to obtain information on work history, training, education, or job skills.",837.0,13-1071.00,18862.0,"Interview job applicants to obtain information on work history, training, education, or job skills.",Core,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",exact,100.0,4,6.0,46.59,3.89,67.94,4.A.4.c.2.I01.D02,Conduct eligibility or selection interviews.,4.A.4.c.2.I01,0.5276073619631902,0.651888341543514,0.1723237597911227,0.4575208913649025,13-1071,13-1071,Human Resources Specialists,917460.0,38.33,79730.0,35.05,72910.0,21.85,26.86,46.77,60.84,45440.0,55870.0,97270.0,126540.0
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",824.0,17-2061.00,7395.0,"Analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",Supplemental,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",exact,100.0,4,6.0,48.28,2.83,86.21,4.A.2.a.4.I05.D02,Analyze design requirements for computer or electronics systems.,4.A.2.a.4.I05,0.8665644171779142,0.4860426929392447,0.3498694516971279,0.6357938718662954,17-2061,17-2061,Computer Hardware Engineers,75710.0,75.37,156770.0,74.53,155020.0,41.07,55.53,89.12,107.61,85430.0,115500.0,185380.0,223820.0
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",822.0,19-2031.00,1505.0,"Analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",Core,Chemists,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.,exact,100.0,4,6.0,55.91,4.07,89.48,4.A.2.a.4.I10.D06,Analyze chemical compounds or substances.,4.A.2.a.4.I10,0.6671779141104295,0.4203612479474548,0.5796344647519581,0.6399721448467968,19-2031,19-2031,Chemists,83250.0,46.13,95940.0,40.46,84150.0,25.58,30.74,57.79,74.25,53210.0,63930.0,120210.0,154430.0
"classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.",816.0,43-3031.00,2490.0,"Classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.",Core,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",exact,100.0,3,2.0,40.89,4.17,69.77,4.A.3.b.6.I10.D03,Maintain financial or account records.,4.A.3.b.6.I10,0.3650306748466258,0.3990147783251231,0.2219321148825065,0.3029247910863511,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1455770.0,25.01,52020.0,23.66,49210.0,16.64,19.9,28.95,34.94,34600.0,41390.0,60220.0,72660.0
"perform database verifications, using computers.",813.0,49-2022.00,11677.0,"Perform database verifications, using computers.",Core,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Install, set up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends. Service or repair telephone, cable television, Internet, and other communications equipment on customers' property. May install communications equipment or communications wiring in buildings.",exact,100.0,3,2.0,43.06,3.71,71.68,4.A.2.a.2.I01.D02,Verify information or specifications.,4.A.2.a.2.I01,0.5598159509202454,0.3333333333333334,0.4699738903394255,0.4958217270194989,49-2022,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",153890.0,32.04,66650.0,30.11,62630.0,20.41,24.32,38.48,45.66,42440.0,50580.0,80040.0,94970.0
prepare sales presentations or proposals to explain product specifications or applications.,809.0,41-4011.00,11246.0,Prepare sales presentations or proposals to explain product specifications or applications.,Core,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.",exact,100.0,4,6.0,39.48,3.86,86.27,4.A.2.b.2.I12.D03,Develop content for sales presentations or other materials.,4.A.2.b.2.I12,0.3052147239263803,0.4269293924466338,0.1174934725848563,0.2318941504178273,41-4011,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",293930.0,55.06,114520.0,48.11,100070.0,23.48,31.56,70.26,93.7,48840.0,65640.0,146150.0,194890.0
"obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.",808.0,41-3011.00,4589.0,"Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.",Core,Advertising Sales Agents,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.",exact,100.0,4,6.0,51.85,4.38,98.29,4.A.1.a.1.I14.D02; 4.A.2.b.3.I01.D22,Gather customer or product information to determine customer needs.; Study product information to acquire professional knowledge.,4.A.1.a.1.I14; 4.A.2.b.3.I01,0.6303680981595091,0.5533661740558292,0.1122715404699738,0.4303621169916436,41-3011,41-3011,Advertising Sales Agents,97470.0,36.71,76350.0,29.55,61460.0,16.09,21.63,43.96,64.2,33480.0,44980.0,91430.0,133540.0
create custom illustrations or other graphic elements.,807.0,27-1011.00,294.0,Create custom illustrations or other graphic elements.,Core,Art Directors,"Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design.",exact,100.0,4,6.0,68.02,4.14,97.72,4.A.2.b.2.I18.D15,Draw detailed or technical illustrations.,4.A.2.b.2.I18,0.7868098159509204,0.607553366174056,0.1723237597911227,0.556406685236769,27-1011,27-1011,Art Directors,50370.0,61.59,128100.0,53.38,111040.0,29.35,38.53,77.14,101.64,61060.0,80130.0,160460.0,211410.0
update automated test scripts to ensure currency.,803.0,15-1253.00,14650.0,Update automated test scripts to ensure currency.,Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,4.09,94.12,4.A.2.b.4.I03.D15,Develop testing routines or procedures.,4.A.2.b.4.I03,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057,15-1253,15-1253,Software Quality Assurance Analysts and Testers,199800.0,53.01,110260.0,49.33,102610.0,29.18,38.23,63.4,80.27,60690.0,79520.0,131870.0,166960.0
"direct live broadcasts, films and recordings, or non-broadcast programming for public entertainment or education.",800.0,27-2012.00,22517.0,"Direct live broadcasts, films and recordings, or non-broadcast programming for public entertainment or education.",Core,Producers and Directors,"Produce or direct stage, television, radio, video, or film productions for entertainment, information, or instruction. Responsible for creative decisions, such as interpretation of script, choice of actors or guests, set design, sound, special effects, and choreography.",exact,100.0,4,6.0,56.67,4.3,82.16,4.A.4.b.4.I03.D02,Direct productions or performances.,4.A.4.b.4.I03,0.7438650306748467,0.6288998357963875,0.4177545691906005,0.6768802228412257,27-2012,27-2012,Producers and Directors,145270.0,54.94,114280.0,40.13,83480.0,20.7,28.75,63.06,95.45,43060.0,59810.0,131160.0,198530.0
"analyze, interpret, or disseminate system performance data.",797.0,15-1299.03,16235.0,"Analyze, interpret, or disseminate system performance data.",Supplemental,Document Management Specialists,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",exact,100.0,4,6.0,60.0,2.81,80.0,4.A.2.a.4.I07.D14,Analyze data to identify or resolve operational problems.,4.A.2.a.4.I07,0.602760736196319,0.5993431855500821,0.1984334203655352,0.4832869080779944,15-1299,15-1299,"Computer Occupations, All Other",439380.0,56.11,116700.0,52.39,108970.0,25.31,36.71,70.93,85.0,52650.0,76360.0,147530.0,176800.0
consult with multiple stakeholders to define requirements and implement online features.,793.0,15-1255.01,16213.0,Consult with multiple stakeholders to define requirements and implement online features.,Core,Video Game Designers,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",exact,100.0,4,6.0,55.0,3.6,100.0,4.A.4.a.2.I09.D07,Collaborate with others to determine design specifications or details.,4.A.4.a.2.I09,0.8389570552147241,0.5336617405582922,0.1671018276762401,0.5459610027855155,15-1255,15-1255,Web and Digital Interface Designers,111400.0,53.58,111450.0,47.16,98090.0,23.0,31.25,68.2,92.39,47840.0,64990.0,141860.0,192180.0
"develop, copy, or adapt designs for garments, and design patterns to fit measurements, applying knowledge of garment design, construction, styling, and fabric.",768.0,51-6052.00,12188.0,"Develop, copy, or adapt designs for garments, and design patterns to fit measurements, applying knowledge of garment design, construction, styling, and fabric.",Core,"Tailors, Dressmakers, and Custom Sewers","Design, make, alter, repair, or fit garments.",exact,100.0,2,2.0,57.66,3.92,69.81,4.A.2.b.2.I13.D01,Design templates or patterns.,4.A.2.b.2.I13,0.3865030674846624,0.1395730706075533,0.7258485639686684,0.4714484679665739,51-6052,51-6052,"Tailors, Dressmakers, and Custom Sewers",16290.0,21.18,44050.0,19.64,40860.0,13.04,16.1,23.94,30.04,27110.0,33480.0,49780.0,62490.0
conduct internet-based and library research.,765.0,19-4061.00,12960.0,Conduct internet-based and library research.,Core,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",exact,100.0,4,6.0,52.73,3.8,78.95,4.A.1.a.1.I04.D08,Collect archival data.,4.A.1.a.1.I04,0.6963190184049082,0.4121510673234811,0.1227154046997388,0.4059888579387187,19-4061,19-4061,Social Science Research Assistants,32940.0,30.56,63560.0,27.9,58040.0,17.5,22.21,35.13,48.38,36410.0,46190.0,73060.0,100620.0
"review papers or serve on editorial boards for scientific journals, and review grant proposals for federal agencies.",765.0,25-1051.00,20069.0,"Review papers or serve on editorial boards for scientific journals, and review grant proposals for federal agencies.",Supplemental,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",exact,100.0,5,8.0,46.48,2.76,61.97,4.A.2.a.1.I08.D01,Evaluate scholarly materials.,4.A.2.a.1.I08,0.7837423312883435,0.625615763546798,0.3733681462140992,0.6699164345403901,25-1051,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11480.0,,112950.0,,101390.0,,,,,53310.0,66620.0,135500.0,199260.0
"compose images of products, using video or still cameras, lighting equipment, props, or photo or video editing software.",763.0,13-1199.06,15729.0,"Compose images of products, using video or still cameras, lighting equipment, props, or photo or video editing software.",Core,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",exact,100.0,4,6.0,41.29,4.2,72.89,4.A.2.b.2.I18.D04,"Create images of data, locations, or products.",4.A.2.b.2.I18,0.5460122699386504,0.4663382594417077,0.2349869451697127,0.4206128133704737,13-1199,13-1199,"Business Operations Specialists, All Other",1128200.0,44.41,92380.0,39.07,81270.0,22.23,29.24,52.9,71.07,46230.0,60820.0,110030.0,147830.0
"code data prior to computer entry, using lists of codes.",750.0,43-9111.00,9798.0,"Code data prior to computer entry, using lists of codes.",Core,Statistical Assistants,Compile and compute data according to statistical formulas for use in statistical studies. May perform actuarial computations and compile charts and graphs for use by actuaries. Includes actuarial clerks.,exact,100.0,4,6.0,59.21,4.1,80.1,4.A.3.b.1.I06.D08,Code data or other information.,4.A.3.b.1.I06,0.6226993865030676,0.5024630541871922,0.1357702349869451,0.4178272980501394,43-9111,43-9111,Statistical Assistants,5900.0,26.67,55470.0,24.73,51440.0,18.29,22.1,30.59,38.18,38050.0,45970.0,63620.0,79410.0
"use computer skills and software to manage web sites or databases, publish newsletters, or provide webinars.",746.0,11-9179.01,20317.0,"Use computer skills and software to manage Web sites or databases, publish newsletters, or provide webinars.",Core,Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",exact,100.0,4,8.0,50.0,3.36,96.15,4.A.4.a.3.I02.D03,Present information to the public.,4.A.4.a.3.I02,0.602760736196319,0.8374384236453204,0.3315926892950391,0.6552924791086353,11-9179,11-9179,"Personal Service Managers, All Other",10490.0,33.95,70620.0,29.49,61340.0,17.73,22.92,39.85,53.43,36880.0,47670.0,82890.0,111130.0
modify and customize commercial programs for internal needs.,738.0,15-1232.00,1296.0,Modify and customize commercial programs for internal needs.,Supplemental,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",exact,100.0,3,6.0,47.32,2.89,62.4,4.A.2.b.2.I02.D07,Modify software programs to improve performance.,4.A.2.b.2.I02,0.598159509202454,0.4400656814449918,0.4986945169712794,0.573816155988858,15-1232,15-1232,Computer User Support Specialists,697210.0,31.25,64990.0,29.01,60340.0,18.65,22.87,37.02,47.12,38780.0,47580.0,77010.0,98010.0
"measure the effectiveness of marketing, advertising, and communications programs and strategies.",737.0,13-1161.00,5438.0,"Measure the effectiveness of marketing, advertising, and communications programs and strategies.",Core,Market Research Analysts and Marketing Specialists,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets.",exact,100.0,4,6.0,56.52,4.1,90.91,4.A.2.a.1.I02.D03,Measure effectiveness of business strategies or practices.,4.A.2.a.1.I02,0.8803680981595093,0.6190476190476191,0.1253263707571801,0.578690807799443,13-1161,13-1161,Market Research Analysts and Marketing Specialists,861140.0,41.58,86480.0,37.0,76950.0,20.23,27.03,50.42,69.52,42070.0,56220.0,104870.0,144610.0
perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures.,735.0,15-1212.00,5320.0,Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures.,Core,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",exact,100.0,4,6.0,52.64,4.12,87.67,4.A.1.b.2.I08.D02,Test computer system operations to ensure proper functioning.,4.A.1.b.2.I08,0.6840490797546014,0.3973727422003285,0.227154046997389,0.4498607242339835,15-1212,15-1212,Information Security Analysts,179430.0,61.41,127730.0,60.05,124910.0,33.49,44.31,76.73,89.63,69660.0,92160.0,159600.0,186420.0
"review or update web page content or links in a timely manner, using appropriate tools.",724.0,15-1299.01,14733.0,"Review or update Web page content or links in a timely manner, using appropriate tools.",Core,Web Administrators,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",exact,100.0,4,6.0,55.0,3.89,95.0,4.A.3.b.1.I06.D04,Update website content.,4.A.3.b.1.I06,0.7546012269938651,0.5829228243021347,0.237597911227154,0.5661559888579388,15-1299,15-1299,"Computer Occupations, All Other",439380.0,56.11,116700.0,52.39,108970.0,25.31,36.71,70.93,85.0,52650.0,76360.0,147530.0,176800.0
"design databases to support business applications, ensuring system scalability, security, performance and reliability.",717.0,15-1243.00,16109.0,"Design databases to support business applications, ensuring system scalability, security, performance, and reliability.",Core,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",exact,100.0,4,6.0,76.19,4.4,100.0,4.A.2.b.2.I06.D04,Create databases to store electronic data.,4.A.2.b.2.I06,0.8190184049079755,0.5057471264367815,0.1253263707571801,0.5027855153203344,15-1243,15-1243,Database Architects,64770.0,68.57,142620.0,65.37,135980.0,39.24,51.88,81.48,100.96,81630.0,107900.0,169480.0,209990.0
"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",711.0,25-2022.00,6575.0,"Instruct through lectures, discussions, and demonstrations in one or more subjects, such as English, mathematics, or social studies.",Core,"Middle School Teachers, Except Special and Career/Technical Education","Teach one or more subjects to students at the middle, intermediate, or junior high school level.",exact,100.0,4,6.0,66.94,4.53,93.46,4.A.4.b.3.I02.D06,Apply multiple teaching methods.,4.A.4.b.3.I02,0.773006134969325,0.7586206896551726,0.227154046997389,0.6434540389972147,25-2022,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",620370.0,,70040.0,,62970.0,,,,,47050.0,53540.0,79380.0,100980.0
develop or analyze information to assess the current or future financial status of firms.,711.0,11-3031.00,21321.0,Develop or analyze information to assess the current or future financial status of firms.,Supplemental,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",exact,100.0,4,6.0,56.31,4.14,43.38,4.A.2.a.4.I07.D08,Analyze forecasting data to improve business decisions.,4.A.2.a.4.I07,0.5889570552147239,0.8128078817733989,0.1932114882506527,0.5647632311977715,11-3031,11-3031,Financial Managers,818620.0,86.76,180470.0,77.74,161700.0,41.58,56.91,102.98,,86490.0,118360.0,214210.0,
"read from sacred texts such as the bible, torah, or koran.",707.0,21-2011.00,10935.0,"Read from sacred texts, such as the Bible, Torah, or Koran.",Core,Clergy,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.,exact,100.0,5,8.0,47.82,4.69,100.0,,,,0.4800613496932516,0.7602627257799672,0.1697127937336814,0.4805013927576603,21-2011,21-2011,Clergy,58080.0,32.29,67160.0,29.24,60820.0,17.86,22.7,36.7,47.94,37140.0,47220.0,76340.0,99720.0
"inform investment decisions by analyzing financial information to forecast business, industry, or economic conditions.",699.0,13-2051.00,21593.0,"Inform investment decisions by analyzing financial information to forecast business, industry, or economic conditions.",,Financial and Investment Analysts,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.",exact,100.0,4,,,,,4.A.2.a.4.I11.D03; 4.A.2.a.4.I11.D04,Analyze business or financial data.; Apply mathematical models of financial or business conditions.,4.A.2.a.4.I11,,,,,13-2051,13-2051,Financial and Investment Analysts,340580.0,56.01,116490.0,48.73,101350.0,30.0,37.64,63.49,86.8,62410.0,78300.0,132050.0,180550.0
"gather data on competitors and analyze their prices, sales, and method of marketing and distribution.",692.0,13-1161.00,5441.0,"Gather data on competitors and analyze their prices, sales, and method of marketing and distribution.",Core,Market Research Analysts and Marketing Specialists,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets.",exact,100.0,4,6.0,56.52,3.95,100.0,4.A.1.a.1.I06.D01; 4.A.2.a.4.I02.D04,Analyze market conditions or trends.; Gather organizational performance information.,4.A.1.a.1.I06; 4.A.2.a.4.I02,0.8803680981595093,0.6190476190476191,0.1253263707571801,0.578690807799443,13-1161,13-1161,Market Research Analysts and Marketing Specialists,861140.0,41.58,86480.0,37.0,76950.0,20.23,27.03,50.42,69.52,42070.0,56220.0,104870.0,144610.0
reinstall software programs or adjust settings on existing software to fix machine malfunctions.,683.0,49-2011.00,11626.0,Reinstall software programs or adjust settings on existing software to fix machine malfunctions.,Core,"Computer, Automated Teller, and Office Machine Repairers","Repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines.",exact,100.0,3,5.0,32.97,4.16,98.21,4.A.3.b.1.I03.D03,Install programs onto computer or computer-controlled equipment.,4.A.3.b.1.I03,0.4616564417177913,0.218390804597701,0.454308093994778,0.394150417827298,49-2011,49-2011,"Computer, Automated Teller, and Office Machine Repairers",73010.0,23.95,49820.0,22.53,46860.0,16.89,18.41,28.57,33.44,35120.0,38290.0,59420.0,69560.0
